W0902 23:54:58.215000 39606 torch/distributed/run.py:852] 
W0902 23:54:58.215000 39606 torch/distributed/run.py:852] *****************************************
W0902 23:54:58.215000 39606 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0902 23:54:58.215000 39606 torch/distributed/run.py:852] *****************************************
logs/b4fe211c-8727-4759-a507-d5dfd89df9c5.txt
resumed training state from step 1000 in eos_shared_state, skipped 2000 batches
step:0/3250 val_loss:3.65171 train_time:0.001s step_avg:nanms
step:1001/3250 train_time:0.455s step_avg:0.45ms
step:1002/3250 train_time:0.671s step_avg:0.67ms
step:1003/3250 train_time:0.893s step_avg:0.89ms
step:1004/3250 train_time:1.114s step_avg:1.11ms
step:1005/3250 train_time:1.335s step_avg:1.33ms
step:1006/3250 train_time:1.556s step_avg:1.55ms
step:1007/3250 train_time:1.778s step_avg:1.77ms
step:1008/3250 train_time:1.999s step_avg:1.98ms
step:1009/3250 train_time:2.220s step_avg:2.20ms
step:1010/3250 train_time:2.442s step_avg:2.42ms
step:1011/3250 train_time:2.663s step_avg:2.63ms
step:1012/3250 train_time:2.884s step_avg:2.85ms
step:1013/3250 train_time:3.106s step_avg:3.07ms
step:1014/3250 train_time:3.327s step_avg:3.28ms
step:1015/3250 train_time:3.548s step_avg:3.50ms
step:1016/3250 train_time:3.770s step_avg:3.71ms
step:1017/3250 train_time:3.991s step_avg:3.92ms
step:1018/3250 train_time:4.212s step_avg:4.14ms
step:1019/3250 train_time:4.433s step_avg:4.35ms
step:1020/3250 train_time:4.655s step_avg:4.56ms
step:1021/3250 train_time:4.876s step_avg:4.78ms
step:1022/3250 train_time:5.097s step_avg:4.99ms
step:1023/3250 train_time:5.318s step_avg:5.20ms
step:1024/3250 train_time:5.539s step_avg:5.41ms
step:1025/3250 train_time:5.761s step_avg:5.62ms
step:1026/3250 train_time:5.982s step_avg:5.83ms
step:1027/3250 train_time:6.203s step_avg:6.04ms
step:1028/3250 train_time:6.425s step_avg:6.25ms
step:1029/3250 train_time:6.646s step_avg:6.46ms
step:1030/3250 train_time:6.867s step_avg:6.67ms
step:1031/3250 train_time:7.088s step_avg:6.88ms
step:1032/3250 train_time:7.310s step_avg:7.08ms
step:1033/3250 train_time:7.531s step_avg:7.29ms
step:1034/3250 train_time:7.752s step_avg:7.50ms
step:1035/3250 train_time:7.973s step_avg:7.70ms
step:1036/3250 train_time:8.194s step_avg:7.91ms
step:1037/3250 train_time:8.416s step_avg:8.12ms
step:1038/3250 train_time:8.637s step_avg:8.32ms
step:1039/3250 train_time:8.858s step_avg:8.53ms
step:1040/3250 train_time:9.079s step_avg:8.73ms
step:1041/3250 train_time:9.300s step_avg:8.93ms
step:1042/3250 train_time:9.521s step_avg:9.14ms
step:1043/3250 train_time:9.742s step_avg:9.34ms
step:1044/3250 train_time:9.964s step_avg:9.54ms
step:1045/3250 train_time:10.185s step_avg:9.75ms
step:1046/3250 train_time:10.407s step_avg:9.95ms
step:1047/3250 train_time:10.628s step_avg:10.15ms
step:1048/3250 train_time:10.849s step_avg:10.35ms
step:1049/3250 train_time:11.070s step_avg:10.55ms
step:1050/3250 train_time:11.291s step_avg:10.75ms
step:1051/3250 train_time:11.513s step_avg:10.95ms
step:1052/3250 train_time:11.734s step_avg:11.15ms
step:1053/3250 train_time:11.955s step_avg:11.35ms
step:1054/3250 train_time:12.177s step_avg:11.55ms
step:1055/3250 train_time:12.398s step_avg:11.75ms
step:1056/3250 train_time:12.619s step_avg:11.95ms
step:1057/3250 train_time:12.840s step_avg:12.15ms
step:1058/3250 train_time:13.061s step_avg:12.35ms
step:1059/3250 train_time:13.283s step_avg:12.54ms
step:1060/3250 train_time:13.504s step_avg:12.74ms
step:1061/3250 train_time:13.725s step_avg:12.94ms
step:1062/3250 train_time:13.947s step_avg:13.13ms
step:1063/3250 train_time:14.168s step_avg:13.33ms
step:1064/3250 train_time:14.389s step_avg:13.52ms
step:1065/3250 train_time:14.610s step_avg:13.72ms
step:1066/3250 train_time:14.831s step_avg:13.91ms
step:1067/3250 train_time:15.053s step_avg:14.11ms
step:1068/3250 train_time:15.274s step_avg:14.30ms
step:1069/3250 train_time:15.495s step_avg:14.49ms
step:1070/3250 train_time:15.716s step_avg:14.69ms
step:1071/3250 train_time:15.937s step_avg:14.88ms
step:1072/3250 train_time:16.159s step_avg:15.07ms
step:1073/3250 train_time:16.380s step_avg:15.27ms
step:1074/3250 train_time:16.601s step_avg:15.46ms
step:1075/3250 train_time:16.822s step_avg:15.65ms
step:1076/3250 train_time:17.044s step_avg:15.84ms
step:1077/3250 train_time:17.265s step_avg:16.03ms
step:1078/3250 train_time:17.486s step_avg:16.22ms
step:1079/3250 train_time:17.708s step_avg:16.41ms
step:1080/3250 train_time:17.929s step_avg:16.60ms
step:1081/3250 train_time:18.150s step_avg:16.79ms
step:1082/3250 train_time:18.371s step_avg:16.98ms
step:1083/3250 train_time:18.592s step_avg:17.17ms
step:1084/3250 train_time:18.814s step_avg:17.36ms
step:1085/3250 train_time:19.035s step_avg:17.54ms
step:1086/3250 train_time:19.256s step_avg:17.73ms
step:1087/3250 train_time:19.477s step_avg:17.92ms
step:1088/3250 train_time:19.699s step_avg:18.11ms
step:1089/3250 train_time:19.920s step_avg:18.29ms
step:1090/3250 train_time:20.141s step_avg:18.48ms
step:1091/3250 train_time:20.362s step_avg:18.66ms
step:1092/3250 train_time:20.584s step_avg:18.85ms
step:1093/3250 train_time:20.805s step_avg:19.03ms
step:1094/3250 train_time:21.026s step_avg:19.22ms
step:1095/3250 train_time:21.247s step_avg:19.40ms
step:1096/3250 train_time:21.469s step_avg:19.59ms
step:1097/3250 train_time:21.690s step_avg:19.77ms
step:1098/3250 train_time:21.911s step_avg:19.96ms
step:1099/3250 train_time:22.132s step_avg:20.14ms
step:1100/3250 train_time:22.354s step_avg:20.32ms
step:1101/3250 train_time:22.575s step_avg:20.50ms
step:1102/3250 train_time:22.796s step_avg:20.69ms
step:1103/3250 train_time:23.017s step_avg:20.87ms
step:1104/3250 train_time:23.239s step_avg:21.05ms
step:1105/3250 train_time:23.460s step_avg:21.23ms
step:1106/3250 train_time:23.681s step_avg:21.41ms
step:1107/3250 train_time:23.902s step_avg:21.59ms
step:1108/3250 train_time:24.124s step_avg:21.77ms
step:1109/3250 train_time:24.345s step_avg:21.95ms
step:1110/3250 train_time:24.566s step_avg:22.13ms
step:1111/3250 train_time:24.788s step_avg:22.31ms
step:1112/3250 train_time:25.009s step_avg:22.49ms
step:1113/3250 train_time:25.230s step_avg:22.67ms
step:1114/3250 train_time:25.451s step_avg:22.85ms
step:1115/3250 train_time:25.673s step_avg:23.02ms
step:1116/3250 train_time:25.894s step_avg:23.20ms
step:1117/3250 train_time:26.115s step_avg:23.38ms
step:1118/3250 train_time:26.336s step_avg:23.56ms
step:1119/3250 train_time:26.557s step_avg:23.73ms
step:1120/3250 train_time:26.779s step_avg:23.91ms
step:1121/3250 train_time:27.000s step_avg:24.09ms
step:1122/3250 train_time:27.221s step_avg:24.26ms
step:1123/3250 train_time:27.443s step_avg:24.44ms
step:1124/3250 train_time:27.664s step_avg:24.61ms
step:1125/3250 train_time:27.885s step_avg:24.79ms
step:1125/3250 val_loss:3.70830 train_time:27.891s step_avg:24.79ms
step:1126/3250 train_time:28.107s step_avg:24.96ms
step:1127/3250 train_time:28.328s step_avg:25.14ms
step:1128/3250 train_time:28.549s step_avg:25.31ms
step:1129/3250 train_time:28.771s step_avg:25.48ms
step:1130/3250 train_time:28.992s step_avg:25.66ms
step:1131/3250 train_time:29.213s step_avg:25.83ms
step:1132/3250 train_time:29.434s step_avg:26.00ms
step:1133/3250 train_time:29.655s step_avg:26.17ms
step:1134/3250 train_time:29.877s step_avg:26.35ms
step:1135/3250 train_time:30.098s step_avg:26.52ms
step:1136/3250 train_time:30.319s step_avg:26.69ms
step:1137/3250 train_time:30.540s step_avg:26.86ms
step:1138/3250 train_time:30.762s step_avg:27.03ms
step:1139/3250 train_time:30.983s step_avg:27.20ms
step:1140/3250 train_time:31.204s step_avg:27.37ms
step:1141/3250 train_time:31.425s step_avg:27.54ms
step:1142/3250 train_time:31.646s step_avg:27.71ms
step:1143/3250 train_time:31.868s step_avg:27.88ms
step:1144/3250 train_time:32.089s step_avg:28.05ms
step:1145/3250 train_time:32.310s step_avg:28.22ms
step:1146/3250 train_time:32.531s step_avg:28.39ms
step:1147/3250 train_time:32.753s step_avg:28.56ms
step:1148/3250 train_time:32.974s step_avg:28.72ms
step:1149/3250 train_time:33.195s step_avg:28.89ms
step:1150/3250 train_time:33.416s step_avg:29.06ms
step:1151/3250 train_time:33.637s step_avg:29.22ms
