W0903 00:06:38.798000 40284 torch/distributed/run.py:852] 
W0903 00:06:38.798000 40284 torch/distributed/run.py:852] *****************************************
W0903 00:06:38.798000 40284 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0903 00:06:38.798000 40284 torch/distributed/run.py:852] *****************************************
logs/1d822482-7292-44a9-9179-715165bc02b6.txt
resumed training state from step 1000 in eos_shared_state, skipped 2000 batches
step:0/3250 val_loss:3.65171 train_time:0.001s step_avg:nanms
step:1001/3250 train_time:0.446s step_avg:0.45ms
step:1002/3250 train_time:0.664s step_avg:0.66ms
step:1003/3250 train_time:0.886s step_avg:0.88ms
step:1004/3250 train_time:1.107s step_avg:1.10ms
step:1005/3250 train_time:1.329s step_avg:1.32ms
step:1006/3250 train_time:1.550s step_avg:1.54ms
step:1007/3250 train_time:1.772s step_avg:1.76ms
step:1008/3250 train_time:1.993s step_avg:1.98ms
step:1009/3250 train_time:2.215s step_avg:2.20ms
step:1010/3250 train_time:2.436s step_avg:2.41ms
step:1011/3250 train_time:2.658s step_avg:2.63ms
step:1012/3250 train_time:2.879s step_avg:2.85ms
step:1013/3250 train_time:3.101s step_avg:3.06ms
step:1014/3250 train_time:3.322s step_avg:3.28ms
step:1015/3250 train_time:3.544s step_avg:3.49ms
step:1016/3250 train_time:3.766s step_avg:3.71ms
step:1017/3250 train_time:3.987s step_avg:3.92ms
step:1018/3250 train_time:4.209s step_avg:4.13ms
step:1019/3250 train_time:4.431s step_avg:4.35ms
step:1020/3250 train_time:4.652s step_avg:4.56ms
step:1021/3250 train_time:4.874s step_avg:4.77ms
step:1022/3250 train_time:5.095s step_avg:4.99ms
step:1023/3250 train_time:5.316s step_avg:5.20ms
step:1024/3250 train_time:5.538s step_avg:5.41ms
step:1025/3250 train_time:5.760s step_avg:5.62ms
step:1026/3250 train_time:5.981s step_avg:5.83ms
step:1027/3250 train_time:6.203s step_avg:6.04ms
step:1028/3250 train_time:6.424s step_avg:6.25ms
step:1029/3250 train_time:6.646s step_avg:6.46ms
step:1030/3250 train_time:6.867s step_avg:6.67ms
step:1031/3250 train_time:7.089s step_avg:6.88ms
step:1032/3250 train_time:7.311s step_avg:7.08ms
step:1033/3250 train_time:7.532s step_avg:7.29ms
step:1034/3250 train_time:7.754s step_avg:7.50ms
step:1035/3250 train_time:7.975s step_avg:7.71ms
step:1036/3250 train_time:8.197s step_avg:7.91ms
step:1037/3250 train_time:8.418s step_avg:8.12ms
step:1038/3250 train_time:8.640s step_avg:8.32ms
step:1039/3250 train_time:8.861s step_avg:8.53ms
step:1040/3250 train_time:9.083s step_avg:8.73ms
step:1041/3250 train_time:9.305s step_avg:8.94ms
step:1042/3250 train_time:9.527s step_avg:9.14ms
step:1043/3250 train_time:9.748s step_avg:9.35ms
step:1044/3250 train_time:9.970s step_avg:9.55ms
step:1045/3250 train_time:10.192s step_avg:9.75ms
step:1046/3250 train_time:10.413s step_avg:9.96ms
step:1047/3250 train_time:10.635s step_avg:10.16ms
step:1048/3250 train_time:10.856s step_avg:10.36ms
step:1049/3250 train_time:11.078s step_avg:10.56ms
step:1050/3250 train_time:11.299s step_avg:10.76ms
step:1051/3250 train_time:11.521s step_avg:10.96ms
step:1052/3250 train_time:11.742s step_avg:11.16ms
step:1053/3250 train_time:11.964s step_avg:11.36ms
step:1054/3250 train_time:12.189s step_avg:11.56ms
step:1055/3250 train_time:12.409s step_avg:11.76ms
step:1056/3250 train_time:12.631s step_avg:11.96ms
step:1057/3250 train_time:12.852s step_avg:12.16ms
step:1058/3250 train_time:13.074s step_avg:12.36ms
step:1059/3250 train_time:13.295s step_avg:12.55ms
step:1060/3250 train_time:13.517s step_avg:12.75ms
step:1061/3250 train_time:13.738s step_avg:12.95ms
step:1062/3250 train_time:13.960s step_avg:13.14ms
step:1063/3250 train_time:14.182s step_avg:13.34ms
step:1064/3250 train_time:14.403s step_avg:13.54ms
step:1065/3250 train_time:14.625s step_avg:13.73ms
step:1066/3250 train_time:14.846s step_avg:13.93ms
step:1067/3250 train_time:15.068s step_avg:14.12ms
step:1068/3250 train_time:15.289s step_avg:14.32ms
step:1069/3250 train_time:15.511s step_avg:14.51ms
step:1070/3250 train_time:15.733s step_avg:14.70ms
step:1071/3250 train_time:15.954s step_avg:14.90ms
step:1072/3250 train_time:16.176s step_avg:15.09ms
step:1073/3250 train_time:16.397s step_avg:15.28ms
step:1074/3250 train_time:16.619s step_avg:15.47ms
step:1075/3250 train_time:16.841s step_avg:15.67ms
step:1076/3250 train_time:17.062s step_avg:15.86ms
step:1077/3250 train_time:17.284s step_avg:16.05ms
step:1078/3250 train_time:17.506s step_avg:16.24ms
step:1079/3250 train_time:17.727s step_avg:16.43ms
step:1080/3250 train_time:17.949s step_avg:16.62ms
step:1081/3250 train_time:18.170s step_avg:16.81ms
step:1082/3250 train_time:18.392s step_avg:17.00ms
step:1083/3250 train_time:18.614s step_avg:17.19ms
step:1084/3250 train_time:18.835s step_avg:17.38ms
step:1085/3250 train_time:19.057s step_avg:17.56ms
step:1086/3250 train_time:19.278s step_avg:17.75ms
step:1087/3250 train_time:19.500s step_avg:17.94ms
step:1088/3250 train_time:19.721s step_avg:18.13ms
step:1089/3250 train_time:19.943s step_avg:18.31ms
step:1090/3250 train_time:20.165s step_avg:18.50ms
step:1091/3250 train_time:20.387s step_avg:18.69ms
step:1092/3250 train_time:20.608s step_avg:18.87ms
step:1093/3250 train_time:20.830s step_avg:19.06ms
step:1094/3250 train_time:21.052s step_avg:19.24ms
step:1095/3250 train_time:21.273s step_avg:19.43ms
step:1096/3250 train_time:21.495s step_avg:19.61ms
step:1097/3250 train_time:21.716s step_avg:19.80ms
step:1098/3250 train_time:21.938s step_avg:19.98ms
step:1099/3250 train_time:22.159s step_avg:20.16ms
step:1100/3250 train_time:22.381s step_avg:20.35ms
step:1101/3250 train_time:22.603s step_avg:20.53ms
step:1102/3250 train_time:22.825s step_avg:20.71ms
step:1103/3250 train_time:23.046s step_avg:20.89ms
step:1104/3250 train_time:23.268s step_avg:21.08ms
step:1105/3250 train_time:23.490s step_avg:21.26ms
step:1106/3250 train_time:23.711s step_avg:21.44ms
step:1107/3250 train_time:23.933s step_avg:21.62ms
step:1108/3250 train_time:24.155s step_avg:21.80ms
step:1109/3250 train_time:24.376s step_avg:21.98ms
step:1110/3250 train_time:24.597s step_avg:22.16ms
step:1111/3250 train_time:24.819s step_avg:22.34ms
step:1112/3250 train_time:25.041s step_avg:22.52ms
step:1113/3250 train_time:25.262s step_avg:22.70ms
step:1114/3250 train_time:25.484s step_avg:22.88ms
step:1115/3250 train_time:25.706s step_avg:23.05ms
step:1116/3250 train_time:25.927s step_avg:23.23ms
step:1117/3250 train_time:26.149s step_avg:23.41ms
step:1118/3250 train_time:26.371s step_avg:23.59ms
step:1119/3250 train_time:26.592s step_avg:23.76ms
step:1120/3250 train_time:26.814s step_avg:23.94ms
step:1121/3250 train_time:27.035s step_avg:24.12ms
step:1122/3250 train_time:27.257s step_avg:24.29ms
step:1123/3250 train_time:27.478s step_avg:24.47ms
step:1124/3250 train_time:27.700s step_avg:24.64ms
step:1125/3250 train_time:27.921s step_avg:24.82ms
step:1125/3250 val_loss:3.68621 train_time:27.927s step_avg:24.82ms
step:1126/3250 train_time:28.144s step_avg:24.99ms
step:1127/3250 train_time:28.365s step_avg:25.17ms
step:1128/3250 train_time:28.587s step_avg:25.34ms
step:1129/3250 train_time:28.808s step_avg:25.52ms
step:1130/3250 train_time:29.030s step_avg:25.69ms
step:1131/3250 train_time:29.251s step_avg:25.86ms
step:1132/3250 train_time:29.473s step_avg:26.04ms
step:1133/3250 train_time:29.695s step_avg:26.21ms
step:1134/3250 train_time:29.916s step_avg:26.38ms
step:1135/3250 train_time:30.138s step_avg:26.55ms
step:1136/3250 train_time:30.360s step_avg:26.72ms
step:1137/3250 train_time:30.581s step_avg:26.90ms
step:1138/3250 train_time:30.803s step_avg:27.07ms
step:1139/3250 train_time:31.024s step_avg:27.24ms
step:1140/3250 train_time:31.246s step_avg:27.41ms
step:1141/3250 train_time:31.468s step_avg:27.58ms
step:1142/3250 train_time:31.689s step_avg:27.75ms
step:1143/3250 train_time:31.910s step_avg:27.92ms
step:1144/3250 train_time:32.132s step_avg:28.09ms
step:1145/3250 train_time:32.354s step_avg:28.26ms
step:1146/3250 train_time:32.576s step_avg:28.43ms
step:1147/3250 train_time:32.797s step_avg:28.59ms
step:1148/3250 train_time:33.019s step_avg:28.76ms
step:1149/3250 train_time:33.240s step_avg:28.93ms
step:1150/3250 train_time:33.462s step_avg:29.10ms
step:1151/3250 train_time:33.684s step_avg:29.26ms
