W0903 00:18:18.589000 40888 torch/distributed/run.py:852] 
W0903 00:18:18.589000 40888 torch/distributed/run.py:852] *****************************************
W0903 00:18:18.589000 40888 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0903 00:18:18.589000 40888 torch/distributed/run.py:852] *****************************************
logs/3cbcd05c-a099-4a4d-ab81-699619f5b6d6.txt
resumed training state from step 1000 in eos_shared_state, skipped 2000 batches
step:0/3250 val_loss:3.65171 train_time:0.001s step_avg:nanms
step:1001/3250 train_time:0.456s step_avg:0.46ms
step:1002/3250 train_time:0.687s step_avg:0.69ms
step:1003/3250 train_time:0.919s step_avg:0.92ms
step:1004/3250 train_time:1.150s step_avg:1.15ms
step:1005/3250 train_time:1.381s step_avg:1.37ms
step:1006/3250 train_time:1.612s step_avg:1.60ms
step:1007/3250 train_time:1.842s step_avg:1.83ms
step:1008/3250 train_time:2.072s step_avg:2.06ms
step:1009/3250 train_time:2.303s step_avg:2.28ms
step:1010/3250 train_time:2.533s step_avg:2.51ms
step:1011/3250 train_time:2.765s step_avg:2.73ms
step:1012/3250 train_time:2.998s step_avg:2.96ms
step:1013/3250 train_time:3.231s step_avg:3.19ms
step:1014/3250 train_time:3.463s step_avg:3.41ms
step:1015/3250 train_time:3.694s step_avg:3.64ms
step:1016/3250 train_time:3.925s step_avg:3.86ms
step:1017/3250 train_time:4.156s step_avg:4.09ms
step:1018/3250 train_time:4.387s step_avg:4.31ms
step:1019/3250 train_time:4.618s step_avg:4.53ms
step:1020/3250 train_time:4.850s step_avg:4.75ms
step:1021/3250 train_time:5.079s step_avg:4.97ms
step:1022/3250 train_time:5.309s step_avg:5.20ms
step:1023/3250 train_time:5.540s step_avg:5.42ms
step:1024/3250 train_time:5.771s step_avg:5.64ms
step:1025/3250 train_time:6.002s step_avg:5.86ms
step:1026/3250 train_time:6.232s step_avg:6.07ms
step:1027/3250 train_time:6.463s step_avg:6.29ms
step:1028/3250 train_time:6.694s step_avg:6.51ms
step:1029/3250 train_time:6.929s step_avg:6.73ms
step:1030/3250 train_time:7.161s step_avg:6.95ms
step:1031/3250 train_time:7.390s step_avg:7.17ms
step:1032/3250 train_time:7.620s step_avg:7.38ms
step:1033/3250 train_time:7.852s step_avg:7.60ms
step:1034/3250 train_time:8.084s step_avg:7.82ms
step:1035/3250 train_time:8.314s step_avg:8.03ms
step:1036/3250 train_time:8.545s step_avg:8.25ms
step:1037/3250 train_time:8.776s step_avg:8.46ms
step:1038/3250 train_time:9.006s step_avg:8.68ms
