W0903 00:30:20.896000 41548 torch/distributed/run.py:852] 
W0903 00:30:20.896000 41548 torch/distributed/run.py:852] *****************************************
W0903 00:30:20.896000 41548 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0903 00:30:20.896000 41548 torch/distributed/run.py:852] *****************************************
logs/9f4fad53-7da1-49e2-9f8f-8b438effeff5.txt
resumed training state from step 1000 in eos_shared_state, skipped 2000 batches
step:0/3250 val_loss:3.65171 train_time:0.001s step_avg:nanms
step:1001/3250 train_time:0.451s step_avg:0.45ms
step:1002/3250 train_time:0.700s step_avg:0.70ms
step:1003/3250 train_time:0.941s step_avg:0.94ms
step:1004/3250 train_time:1.184s step_avg:1.18ms
step:1005/3250 train_time:1.425s step_avg:1.42ms
step:1006/3250 train_time:1.657s step_avg:1.65ms
step:1007/3250 train_time:1.887s step_avg:1.87ms
step:1008/3250 train_time:2.119s step_avg:2.10ms
step:1009/3250 train_time:2.349s step_avg:2.33ms
step:1010/3250 train_time:2.581s step_avg:2.56ms
step:1011/3250 train_time:2.811s step_avg:2.78ms
step:1012/3250 train_time:3.043s step_avg:3.01ms
step:1013/3250 train_time:3.274s step_avg:3.23ms
step:1014/3250 train_time:3.504s step_avg:3.46ms
step:1015/3250 train_time:3.737s step_avg:3.68ms
step:1016/3250 train_time:3.969s step_avg:3.91ms
step:1017/3250 train_time:4.200s step_avg:4.13ms
step:1018/3250 train_time:4.431s step_avg:4.35ms
step:1019/3250 train_time:4.663s step_avg:4.58ms
step:1020/3250 train_time:4.894s step_avg:4.80ms
step:1021/3250 train_time:5.131s step_avg:5.03ms
step:1022/3250 train_time:5.371s step_avg:5.26ms
step:1023/3250 train_time:5.606s step_avg:5.48ms
step:1024/3250 train_time:5.837s step_avg:5.70ms
step:1025/3250 train_time:6.070s step_avg:5.92ms
step:1026/3250 train_time:6.301s step_avg:6.14ms
step:1027/3250 train_time:6.532s step_avg:6.36ms
step:1028/3250 train_time:6.764s step_avg:6.58ms
step:1029/3250 train_time:6.994s step_avg:6.80ms
step:1030/3250 train_time:7.225s step_avg:7.01ms
step:1031/3250 train_time:7.457s step_avg:7.23ms
step:1032/3250 train_time:7.688s step_avg:7.45ms
step:1033/3250 train_time:7.919s step_avg:7.67ms
step:1034/3250 train_time:8.150s step_avg:7.88ms
step:1035/3250 train_time:8.381s step_avg:8.10ms
step:1036/3250 train_time:8.612s step_avg:8.31ms
step:1037/3250 train_time:8.842s step_avg:8.53ms
step:1038/3250 train_time:9.075s step_avg:8.74ms
step:1039/3250 train_time:9.306s step_avg:8.96ms
step:1040/3250 train_time:9.537s step_avg:9.17ms
step:1041/3250 train_time:9.769s step_avg:9.38ms
step:1042/3250 train_time:9.999s step_avg:9.60ms
step:1043/3250 train_time:10.230s step_avg:9.81ms
step:1044/3250 train_time:10.462s step_avg:10.02ms
step:1045/3250 train_time:10.701s step_avg:10.24ms
step:1046/3250 train_time:10.940s step_avg:10.46ms
step:1047/3250 train_time:11.178s step_avg:10.68ms
step:1048/3250 train_time:11.417s step_avg:10.89ms
step:1049/3250 train_time:11.655s step_avg:11.11ms
step:1050/3250 train_time:11.894s step_avg:11.33ms
step:1051/3250 train_time:12.134s step_avg:11.54ms
step:1052/3250 train_time:12.371s step_avg:11.76ms
step:1053/3250 train_time:12.605s step_avg:11.97ms
step:1054/3250 train_time:12.835s step_avg:12.18ms
step:1055/3250 train_time:13.065s step_avg:12.38ms
step:1056/3250 train_time:13.298s step_avg:12.59ms
step:1057/3250 train_time:13.530s step_avg:12.80ms
step:1058/3250 train_time:13.760s step_avg:13.01ms
step:1059/3250 train_time:13.991s step_avg:13.21ms
step:1060/3250 train_time:14.222s step_avg:13.42ms
step:1061/3250 train_time:14.453s step_avg:13.62ms
step:1062/3250 train_time:14.684s step_avg:13.83ms
step:1063/3250 train_time:14.915s step_avg:14.03ms
step:1064/3250 train_time:15.146s step_avg:14.23ms
step:1065/3250 train_time:15.377s step_avg:14.44ms
step:1066/3250 train_time:15.612s step_avg:14.65ms
step:1067/3250 train_time:15.842s step_avg:14.85ms
step:1068/3250 train_time:16.072s step_avg:15.05ms
step:1069/3250 train_time:16.304s step_avg:15.25ms
step:1070/3250 train_time:16.536s step_avg:15.45ms
step:1071/3250 train_time:16.767s step_avg:15.66ms
step:1072/3250 train_time:16.997s step_avg:15.86ms
step:1073/3250 train_time:17.231s step_avg:16.06ms
step:1074/3250 train_time:17.461s step_avg:16.26ms
step:1075/3250 train_time:17.691s step_avg:16.46ms
step:1076/3250 train_time:17.923s step_avg:16.66ms
step:1077/3250 train_time:18.159s step_avg:16.86ms
step:1078/3250 train_time:18.390s step_avg:17.06ms
step:1079/3250 train_time:18.621s step_avg:17.26ms
step:1080/3250 train_time:18.853s step_avg:17.46ms
step:1081/3250 train_time:19.084s step_avg:17.65ms
step:1082/3250 train_time:19.314s step_avg:17.85ms
step:1083/3250 train_time:19.546s step_avg:18.05ms
step:1084/3250 train_time:19.776s step_avg:18.24ms
step:1085/3250 train_time:20.006s step_avg:18.44ms
step:1086/3250 train_time:20.239s step_avg:18.64ms
step:1087/3250 train_time:20.470s step_avg:18.83ms
step:1088/3250 train_time:20.700s step_avg:19.03ms
step:1089/3250 train_time:20.931s step_avg:19.22ms
step:1090/3250 train_time:21.163s step_avg:19.42ms
step:1091/3250 train_time:21.394s step_avg:19.61ms
step:1092/3250 train_time:21.624s step_avg:19.80ms
step:1093/3250 train_time:21.855s step_avg:20.00ms
step:1094/3250 train_time:22.086s step_avg:20.19ms
step:1095/3250 train_time:22.318s step_avg:20.38ms
step:1096/3250 train_time:22.551s step_avg:20.58ms
step:1097/3250 train_time:22.786s step_avg:20.77ms
step:1098/3250 train_time:23.017s step_avg:20.96ms
step:1099/3250 train_time:23.248s step_avg:21.15ms
step:1100/3250 train_time:23.481s step_avg:21.35ms
step:1101/3250 train_time:23.711s step_avg:21.54ms
step:1102/3250 train_time:23.944s step_avg:21.73ms
step:1103/3250 train_time:24.176s step_avg:21.92ms
step:1104/3250 train_time:24.407s step_avg:22.11ms
step:1105/3250 train_time:24.639s step_avg:22.30ms
step:1106/3250 train_time:24.872s step_avg:22.49ms
step:1107/3250 train_time:25.103s step_avg:22.68ms
step:1108/3250 train_time:25.334s step_avg:22.86ms
step:1109/3250 train_time:25.565s step_avg:23.05ms
step:1110/3250 train_time:25.797s step_avg:23.24ms
step:1111/3250 train_time:26.028s step_avg:23.43ms
step:1112/3250 train_time:26.259s step_avg:23.61ms
step:1113/3250 train_time:26.491s step_avg:23.80ms
step:1114/3250 train_time:26.724s step_avg:23.99ms
step:1115/3250 train_time:26.955s step_avg:24.18ms
step:1116/3250 train_time:27.188s step_avg:24.36ms
step:1117/3250 train_time:27.420s step_avg:24.55ms
step:1118/3250 train_time:27.651s step_avg:24.73ms
step:1119/3250 train_time:27.882s step_avg:24.92ms
step:1120/3250 train_time:28.115s step_avg:25.10ms
step:1121/3250 train_time:28.345s step_avg:25.29ms
step:1122/3250 train_time:28.576s step_avg:25.47ms
step:1123/3250 train_time:28.810s step_avg:25.65ms
step:1124/3250 train_time:29.042s step_avg:25.84ms
