W0903 00:42:28.433000 42186 torch/distributed/run.py:852] 
W0903 00:42:28.433000 42186 torch/distributed/run.py:852] *****************************************
W0903 00:42:28.433000 42186 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0903 00:42:28.433000 42186 torch/distributed/run.py:852] *****************************************
logs/eb3971f4-1d44-4ef5-9be6-01e97b00229d.txt
resumed training state from step 1000 in eos_shared_state, skipped 500 batches
step:0/3250 val_loss:3.65169 train_time:0.002s step_avg:nanms
step:1001/3250 train_time:2.789s step_avg:2.79ms
step:1002/3250 train_time:3.071s step_avg:3.06ms
step:1003/3250 train_time:3.366s step_avg:3.36ms
step:1004/3250 train_time:3.661s step_avg:3.65ms
step:1005/3250 train_time:3.960s step_avg:3.94ms
step:1006/3250 train_time:4.257s step_avg:4.23ms
step:1007/3250 train_time:4.552s step_avg:4.52ms
step:1008/3250 train_time:4.846s step_avg:4.81ms
step:1009/3250 train_time:5.145s step_avg:5.10ms
step:1010/3250 train_time:5.445s step_avg:5.39ms
step:1011/3250 train_time:5.744s step_avg:5.68ms
step:1012/3250 train_time:6.040s step_avg:5.97ms
step:1013/3250 train_time:6.338s step_avg:6.26ms
step:1014/3250 train_time:6.635s step_avg:6.54ms
step:1015/3250 train_time:6.931s step_avg:6.83ms
step:1016/3250 train_time:7.227s step_avg:7.11ms
step:1017/3250 train_time:7.527s step_avg:7.40ms
step:1018/3250 train_time:7.827s step_avg:7.69ms
step:1019/3250 train_time:8.126s step_avg:7.97ms
step:1020/3250 train_time:8.425s step_avg:8.26ms
step:1021/3250 train_time:8.725s step_avg:8.55ms
step:1022/3250 train_time:9.024s step_avg:8.83ms
step:1023/3250 train_time:9.322s step_avg:9.11ms
step:1024/3250 train_time:9.620s step_avg:9.39ms
step:1025/3250 train_time:9.918s step_avg:9.68ms
step:1026/3250 train_time:10.218s step_avg:9.96ms
step:1027/3250 train_time:10.515s step_avg:10.24ms
step:1028/3250 train_time:10.813s step_avg:10.52ms
step:1029/3250 train_time:11.109s step_avg:10.80ms
step:1030/3250 train_time:11.408s step_avg:11.08ms
step:1031/3250 train_time:11.708s step_avg:11.36ms
step:1032/3250 train_time:12.006s step_avg:11.63ms
step:1033/3250 train_time:12.308s step_avg:11.91ms
step:1034/3250 train_time:12.608s step_avg:12.19ms
step:1035/3250 train_time:12.907s step_avg:12.47ms
step:1036/3250 train_time:13.207s step_avg:12.75ms
step:1037/3250 train_time:13.506s step_avg:13.02ms
step:1038/3250 train_time:13.807s step_avg:13.30ms
step:1039/3250 train_time:14.107s step_avg:13.58ms
step:1040/3250 train_time:14.407s step_avg:13.85ms
step:1041/3250 train_time:14.708s step_avg:14.13ms
step:1042/3250 train_time:15.007s step_avg:14.40ms
step:1043/3250 train_time:15.307s step_avg:14.68ms
step:1044/3250 train_time:15.607s step_avg:14.95ms
step:1045/3250 train_time:15.907s step_avg:15.22ms
step:1046/3250 train_time:16.207s step_avg:15.49ms
step:1047/3250 train_time:16.507s step_avg:15.77ms
step:1048/3250 train_time:16.806s step_avg:16.04ms
step:1049/3250 train_time:17.106s step_avg:16.31ms
step:1050/3250 train_time:17.406s step_avg:16.58ms
step:1051/3250 train_time:17.705s step_avg:16.85ms
step:1052/3250 train_time:18.005s step_avg:17.12ms
step:1053/3250 train_time:18.306s step_avg:17.39ms
step:1054/3250 train_time:18.606s step_avg:17.65ms
step:1055/3250 train_time:18.908s step_avg:17.92ms
step:1056/3250 train_time:19.207s step_avg:18.19ms
step:1057/3250 train_time:19.504s step_avg:18.45ms
step:1058/3250 train_time:19.805s step_avg:18.72ms
step:1059/3250 train_time:20.104s step_avg:18.98ms
step:1060/3250 train_time:20.400s step_avg:19.25ms
step:1061/3250 train_time:20.699s step_avg:19.51ms
step:1062/3250 train_time:20.997s step_avg:19.77ms
step:1063/3250 train_time:21.292s step_avg:20.03ms
step:1064/3250 train_time:21.588s step_avg:20.29ms
step:1065/3250 train_time:21.888s step_avg:20.55ms
step:1066/3250 train_time:22.188s step_avg:20.81ms
step:1067/3250 train_time:22.487s step_avg:21.07ms
step:1068/3250 train_time:22.788s step_avg:21.34ms
step:1069/3250 train_time:23.088s step_avg:21.60ms
