W0903 00:55:58.261000 44040 torch/distributed/run.py:852] 
W0903 00:55:58.261000 44040 torch/distributed/run.py:852] *****************************************
W0903 00:55:58.261000 44040 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0903 00:55:58.261000 44040 torch/distributed/run.py:852] *****************************************
logs/2b656022-e76a-4dd8-9cff-b76449b5de91.txt
resumed training state from step 1000 in eos_shared_state, skipped 500 batches
step:0/3250 val_loss:3.65169 train_time:0.001s step_avg:nanms
step:1001/3250 train_time:2.642s step_avg:2.64ms
step:1002/3250 train_time:3.302s step_avg:3.30ms
step:1003/3250 train_time:3.579s step_avg:3.57ms
step:1004/3250 train_time:3.872s step_avg:3.86ms
step:1005/3250 train_time:4.167s step_avg:4.15ms
step:1006/3250 train_time:4.463s step_avg:4.44ms
step:1007/3250 train_time:4.759s step_avg:4.73ms
step:1008/3250 train_time:5.055s step_avg:5.01ms
step:1009/3250 train_time:5.353s step_avg:5.31ms
step:1010/3250 train_time:5.648s step_avg:5.59ms
step:1011/3250 train_time:5.941s step_avg:5.88ms
step:1012/3250 train_time:6.240s step_avg:6.17ms
step:1013/3250 train_time:6.541s step_avg:6.46ms
step:1014/3250 train_time:6.838s step_avg:6.74ms
step:1015/3250 train_time:7.137s step_avg:7.03ms
step:1016/3250 train_time:7.436s step_avg:7.32ms
step:1017/3250 train_time:7.732s step_avg:7.60ms
step:1018/3250 train_time:8.027s step_avg:7.88ms
step:1019/3250 train_time:8.323s step_avg:8.17ms
step:1020/3250 train_time:8.622s step_avg:8.45ms
step:1021/3250 train_time:8.920s step_avg:8.74ms
step:1022/3250 train_time:9.219s step_avg:9.02ms
step:1023/3250 train_time:9.519s step_avg:9.31ms
step:1024/3250 train_time:9.819s step_avg:9.59ms
step:1025/3250 train_time:10.119s step_avg:9.87ms
step:1026/3250 train_time:10.418s step_avg:10.15ms
step:1027/3250 train_time:10.718s step_avg:10.44ms
step:1028/3250 train_time:11.016s step_avg:10.72ms
step:1029/3250 train_time:11.313s step_avg:10.99ms
step:1030/3250 train_time:11.610s step_avg:11.27ms
step:1031/3250 train_time:11.907s step_avg:11.55ms
step:1032/3250 train_time:12.204s step_avg:11.83ms
step:1033/3250 train_time:12.502s step_avg:12.10ms
step:1034/3250 train_time:12.801s step_avg:12.38ms
step:1035/3250 train_time:13.101s step_avg:12.66ms
step:1036/3250 train_time:13.399s step_avg:12.93ms
step:1037/3250 train_time:13.701s step_avg:13.21ms
step:1038/3250 train_time:14.001s step_avg:13.49ms
step:1039/3250 train_time:14.300s step_avg:13.76ms
step:1040/3250 train_time:14.600s step_avg:14.04ms
step:1041/3250 train_time:14.900s step_avg:14.31ms
step:1042/3250 train_time:15.199s step_avg:14.59ms
step:1043/3250 train_time:15.501s step_avg:14.86ms
step:1044/3250 train_time:15.800s step_avg:15.13ms
step:1045/3250 train_time:16.099s step_avg:15.41ms
step:1046/3250 train_time:16.398s step_avg:15.68ms
step:1047/3250 train_time:16.697s step_avg:15.95ms
step:1048/3250 train_time:16.995s step_avg:16.22ms
step:1049/3250 train_time:17.291s step_avg:16.48ms
step:1050/3250 train_time:17.587s step_avg:16.75ms
step:1051/3250 train_time:17.884s step_avg:17.02ms
step:1052/3250 train_time:18.183s step_avg:17.28ms
step:1053/3250 train_time:18.483s step_avg:17.55ms
step:1054/3250 train_time:18.782s step_avg:17.82ms
step:1055/3250 train_time:19.081s step_avg:18.09ms
step:1056/3250 train_time:19.381s step_avg:18.35ms
step:1057/3250 train_time:19.681s step_avg:18.62ms
step:1058/3250 train_time:19.981s step_avg:18.89ms
step:1059/3250 train_time:20.281s step_avg:19.15ms
step:1060/3250 train_time:20.581s step_avg:19.42ms
step:1061/3250 train_time:20.880s step_avg:19.68ms
step:1062/3250 train_time:21.179s step_avg:19.94ms
step:1063/3250 train_time:21.479s step_avg:20.21ms
step:1064/3250 train_time:21.779s step_avg:20.47ms
step:1065/3250 train_time:22.080s step_avg:20.73ms
step:1066/3250 train_time:22.381s step_avg:20.99ms
step:1067/3250 train_time:22.681s step_avg:21.26ms
step:1068/3250 train_time:22.981s step_avg:21.52ms
step:1069/3250 train_time:23.281s step_avg:21.78ms
step:1070/3250 train_time:23.579s step_avg:22.04ms
step:1071/3250 train_time:23.920s step_avg:22.33ms
step:1072/3250 train_time:24.214s step_avg:22.59ms
step:1073/3250 train_time:24.508s step_avg:22.84ms
step:1074/3250 train_time:24.808s step_avg:23.10ms
step:1075/3250 train_time:25.106s step_avg:23.35ms
step:1076/3250 train_time:25.401s step_avg:23.61ms
step:1077/3250 train_time:25.702s step_avg:23.86ms
step:1078/3250 train_time:26.002s step_avg:24.12ms
step:1079/3250 train_time:26.302s step_avg:24.38ms
step:1080/3250 train_time:26.601s step_avg:24.63ms
step:1081/3250 train_time:26.901s step_avg:24.89ms
step:1082/3250 train_time:27.201s step_avg:25.14ms
step:1083/3250 train_time:27.501s step_avg:25.39ms
step:1084/3250 train_time:27.803s step_avg:25.65ms
step:1085/3250 train_time:28.102s step_avg:25.90ms
step:1086/3250 train_time:28.401s step_avg:26.15ms
step:1087/3250 train_time:28.701s step_avg:26.40ms
step:1088/3250 train_time:29.001s step_avg:26.66ms
step:1089/3250 train_time:29.301s step_avg:26.91ms
step:1090/3250 train_time:29.598s step_avg:27.15ms
step:1091/3250 train_time:29.900s step_avg:27.41ms
step:1092/3250 train_time:30.200s step_avg:27.66ms
step:1093/3250 train_time:30.499s step_avg:27.90ms
step:1094/3250 train_time:30.799s step_avg:28.15ms
