W0903 01:09:29.847000 45894 torch/distributed/run.py:852] 
W0903 01:09:29.847000 45894 torch/distributed/run.py:852] *****************************************
W0903 01:09:29.847000 45894 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0903 01:09:29.847000 45894 torch/distributed/run.py:852] *****************************************
logs/74ac32dd-f7b9-41fd-8aa1-624b7a8d63f5.txt
resumed training state from step 1000 in eos_shared_state, skipped 500 batches
step:0/3250 val_loss:3.65169 train_time:0.001s step_avg:nanms
step:1001/3250 train_time:2.819s step_avg:2.82ms
step:1002/3250 train_time:4.064s step_avg:4.06ms
step:1003/3250 train_time:4.362s step_avg:4.35ms
step:1004/3250 train_time:4.662s step_avg:4.64ms
step:1005/3250 train_time:4.961s step_avg:4.94ms
step:1006/3250 train_time:5.260s step_avg:5.23ms
step:1007/3250 train_time:5.560s step_avg:5.52ms
step:1008/3250 train_time:5.860s step_avg:5.81ms
step:1009/3250 train_time:6.159s step_avg:6.10ms
step:1010/3250 train_time:6.459s step_avg:6.40ms
step:1011/3250 train_time:6.761s step_avg:6.69ms
step:1012/3250 train_time:7.060s step_avg:6.98ms
step:1013/3250 train_time:7.360s step_avg:7.27ms
step:1014/3250 train_time:7.660s step_avg:7.55ms
step:1015/3250 train_time:7.960s step_avg:7.84ms
step:1016/3250 train_time:8.263s step_avg:8.13ms
step:1017/3250 train_time:8.567s step_avg:8.42ms
step:1018/3250 train_time:8.871s step_avg:8.71ms
step:1019/3250 train_time:9.173s step_avg:9.00ms
step:1020/3250 train_time:9.475s step_avg:9.29ms
step:1021/3250 train_time:9.778s step_avg:9.58ms
step:1022/3250 train_time:10.082s step_avg:9.86ms
step:1023/3250 train_time:10.384s step_avg:10.15ms
step:1024/3250 train_time:10.687s step_avg:10.44ms
step:1025/3250 train_time:10.992s step_avg:10.72ms
step:1026/3250 train_time:11.294s step_avg:11.01ms
step:1027/3250 train_time:11.597s step_avg:11.29ms
step:1028/3250 train_time:11.899s step_avg:11.58ms
step:1029/3250 train_time:12.200s step_avg:11.86ms
step:1030/3250 train_time:12.502s step_avg:12.14ms
step:1031/3250 train_time:12.805s step_avg:12.42ms
step:1032/3250 train_time:13.107s step_avg:12.70ms
step:1033/3250 train_time:13.410s step_avg:12.98ms
step:1034/3250 train_time:13.714s step_avg:13.26ms
step:1035/3250 train_time:14.017s step_avg:13.54ms
step:1036/3250 train_time:14.319s step_avg:13.82ms
step:1037/3250 train_time:14.621s step_avg:14.10ms
step:1038/3250 train_time:14.924s step_avg:14.38ms
step:1039/3250 train_time:15.226s step_avg:14.65ms
step:1040/3250 train_time:15.531s step_avg:14.93ms
step:1041/3250 train_time:15.834s step_avg:15.21ms
step:1042/3250 train_time:16.137s step_avg:15.49ms
step:1043/3250 train_time:16.440s step_avg:15.76ms
step:1044/3250 train_time:16.741s step_avg:16.04ms
step:1045/3250 train_time:17.043s step_avg:16.31ms
step:1046/3250 train_time:17.348s step_avg:16.59ms
step:1047/3250 train_time:17.650s step_avg:16.86ms
step:1048/3250 train_time:17.953s step_avg:17.13ms
step:1049/3250 train_time:18.256s step_avg:17.40ms
step:1050/3250 train_time:18.560s step_avg:17.68ms
step:1051/3250 train_time:18.860s step_avg:17.95ms
step:1052/3250 train_time:19.162s step_avg:18.21ms
step:1053/3250 train_time:19.467s step_avg:18.49ms
step:1054/3250 train_time:19.772s step_avg:18.76ms
step:1055/3250 train_time:20.074s step_avg:19.03ms
step:1056/3250 train_time:20.379s step_avg:19.30ms
step:1057/3250 train_time:20.683s step_avg:19.57ms
step:1058/3250 train_time:20.988s step_avg:19.84ms
step:1059/3250 train_time:21.294s step_avg:20.11ms
step:1060/3250 train_time:21.597s step_avg:20.37ms
step:1061/3250 train_time:21.899s step_avg:20.64ms
step:1062/3250 train_time:22.202s step_avg:20.91ms
step:1063/3250 train_time:22.506s step_avg:21.17ms
step:1064/3250 train_time:22.811s step_avg:21.44ms
step:1065/3250 train_time:23.114s step_avg:21.70ms
step:1066/3250 train_time:23.417s step_avg:21.97ms
step:1067/3250 train_time:23.721s step_avg:22.23ms
step:1068/3250 train_time:24.023s step_avg:22.49ms
step:1069/3250 train_time:24.326s step_avg:22.76ms
step:1070/3250 train_time:24.630s step_avg:23.02ms
step:1071/3250 train_time:24.990s step_avg:23.33ms
step:1072/3250 train_time:25.292s step_avg:23.59ms
step:1073/3250 train_time:25.595s step_avg:23.85ms
step:1074/3250 train_time:25.897s step_avg:24.11ms
step:1075/3250 train_time:26.199s step_avg:24.37ms
step:1076/3250 train_time:26.501s step_avg:24.63ms
step:1077/3250 train_time:26.804s step_avg:24.89ms
step:1078/3250 train_time:27.105s step_avg:25.14ms
step:1079/3250 train_time:27.407s step_avg:25.40ms
step:1080/3250 train_time:27.713s step_avg:25.66ms
step:1081/3250 train_time:28.015s step_avg:25.92ms
step:1082/3250 train_time:28.318s step_avg:26.17ms
step:1083/3250 train_time:28.618s step_avg:26.43ms
step:1084/3250 train_time:28.920s step_avg:26.68ms
step:1085/3250 train_time:29.225s step_avg:26.94ms
step:1086/3250 train_time:29.528s step_avg:27.19ms
step:1087/3250 train_time:29.833s step_avg:27.44ms
step:1088/3250 train_time:30.137s step_avg:27.70ms
step:1089/3250 train_time:30.439s step_avg:27.95ms
step:1090/3250 train_time:30.741s step_avg:28.20ms
step:1091/3250 train_time:31.045s step_avg:28.46ms
step:1092/3250 train_time:31.347s step_avg:28.71ms
step:1093/3250 train_time:31.651s step_avg:28.96ms
step:1094/3250 train_time:31.954s step_avg:29.21ms
step:1095/3250 train_time:32.256s step_avg:29.46ms
step:1096/3250 train_time:32.558s step_avg:29.71ms
step:1097/3250 train_time:32.861s step_avg:29.95ms
step:1098/3250 train_time:33.164s step_avg:30.20ms
step:1099/3250 train_time:33.466s step_avg:30.45ms
step:1100/3250 train_time:33.770s step_avg:30.70ms
step:1101/3250 train_time:34.073s step_avg:30.95ms
step:1102/3250 train_time:34.374s step_avg:31.19ms
step:1103/3250 train_time:34.676s step_avg:31.44ms
step:1104/3250 train_time:34.978s step_avg:31.68ms
step:1105/3250 train_time:35.278s step_avg:31.93ms
step:1106/3250 train_time:35.579s step_avg:32.17ms
step:1107/3250 train_time:35.883s step_avg:32.42ms
step:1108/3250 train_time:36.185s step_avg:32.66ms
step:1109/3250 train_time:36.488s step_avg:32.90ms
step:1110/3250 train_time:36.795s step_avg:33.15ms
step:1111/3250 train_time:37.096s step_avg:33.39ms
step:1112/3250 train_time:37.396s step_avg:33.63ms
step:1113/3250 train_time:37.697s step_avg:33.87ms
step:1114/3250 train_time:37.998s step_avg:34.11ms
step:1115/3250 train_time:38.300s step_avg:34.35ms
step:1116/3250 train_time:38.604s step_avg:34.59ms
step:1117/3250 train_time:38.906s step_avg:34.83ms
step:1118/3250 train_time:39.208s step_avg:35.07ms
step:1119/3250 train_time:39.513s step_avg:35.31ms
step:1120/3250 train_time:39.819s step_avg:35.55ms
step:1121/3250 train_time:40.122s step_avg:35.79ms
step:1122/3250 train_time:40.424s step_avg:36.03ms
step:1123/3250 train_time:40.726s step_avg:36.27ms
step:1124/3250 train_time:41.030s step_avg:36.50ms
step:1125/3250 train_time:41.332s step_avg:36.74ms
step:1125/3250 val_loss:3.56098 train_time:41.333s step_avg:36.74ms
step:1126/3250 train_time:41.638s step_avg:36.98ms
step:1127/3250 train_time:41.942s step_avg:37.22ms
step:1128/3250 train_time:42.245s step_avg:37.45ms
step:1129/3250 train_time:42.548s step_avg:37.69ms
step:1130/3250 train_time:42.849s step_avg:37.92ms
step:1131/3250 train_time:43.150s step_avg:38.15ms
step:1132/3250 train_time:43.452s step_avg:38.38ms
step:1133/3250 train_time:43.753s step_avg:38.62ms
step:1134/3250 train_time:44.055s step_avg:38.85ms
step:1135/3250 train_time:44.356s step_avg:39.08ms
step:1136/3250 train_time:44.659s step_avg:39.31ms
step:1137/3250 train_time:44.960s step_avg:39.54ms
step:1138/3250 train_time:45.261s step_avg:39.77ms
step:1139/3250 train_time:45.562s step_avg:40.00ms
step:1140/3250 train_time:45.866s step_avg:40.23ms
step:1141/3250 train_time:46.169s step_avg:40.46ms
step:1142/3250 train_time:46.471s step_avg:40.69ms
step:1143/3250 train_time:46.772s step_avg:40.92ms
step:1144/3250 train_time:47.074s step_avg:41.15ms
step:1145/3250 train_time:47.375s step_avg:41.38ms
step:1146/3250 train_time:47.675s step_avg:41.60ms
step:1147/3250 train_time:47.975s step_avg:41.83ms
step:1148/3250 train_time:48.280s step_avg:42.06ms
step:1149/3250 train_time:48.582s step_avg:42.28ms
step:1150/3250 train_time:48.886s step_avg:42.51ms
step:1151/3250 train_time:49.189s step_avg:42.74ms
