W0903 01:23:16.365000 47856 torch/distributed/run.py:852] 
W0903 01:23:16.365000 47856 torch/distributed/run.py:852] *****************************************
W0903 01:23:16.365000 47856 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0903 01:23:16.365000 47856 torch/distributed/run.py:852] *****************************************
logs/5fe0d54d-f740-4f93-ab40-a174bb373a3a.txt
resumed training state from step 1000 in eos_shared_state, skipped 500 batches
step:0/3250 val_loss:3.65169 train_time:0.001s step_avg:nanms
step:1001/3250 train_time:2.571s step_avg:2.57ms
step:1002/3250 train_time:13.682s step_avg:13.65ms
step:1003/3250 train_time:13.984s step_avg:13.94ms
step:1004/3250 train_time:14.284s step_avg:14.23ms
step:1005/3250 train_time:14.584s step_avg:14.51ms
step:1006/3250 train_time:14.887s step_avg:14.80ms
step:1007/3250 train_time:15.194s step_avg:15.09ms
step:1008/3250 train_time:15.496s step_avg:15.37ms
step:1009/3250 train_time:15.797s step_avg:15.66ms
step:1010/3250 train_time:16.098s step_avg:15.94ms
step:1011/3250 train_time:16.401s step_avg:16.22ms
step:1012/3250 train_time:16.703s step_avg:16.51ms
step:1013/3250 train_time:17.004s step_avg:16.79ms
step:1014/3250 train_time:17.309s step_avg:17.07ms
step:1015/3250 train_time:17.612s step_avg:17.35ms
step:1016/3250 train_time:17.916s step_avg:17.63ms
step:1017/3250 train_time:18.218s step_avg:17.91ms
step:1018/3250 train_time:18.520s step_avg:18.19ms
step:1019/3250 train_time:18.822s step_avg:18.47ms
step:1020/3250 train_time:19.123s step_avg:18.75ms
step:1021/3250 train_time:19.426s step_avg:19.03ms
step:1022/3250 train_time:19.730s step_avg:19.31ms
step:1023/3250 train_time:20.035s step_avg:19.58ms
step:1024/3250 train_time:20.337s step_avg:19.86ms
step:1025/3250 train_time:20.640s step_avg:20.14ms
step:1026/3250 train_time:20.942s step_avg:20.41ms
step:1027/3250 train_time:21.245s step_avg:20.69ms
step:1028/3250 train_time:21.549s step_avg:20.96ms
step:1029/3250 train_time:21.854s step_avg:21.24ms
step:1030/3250 train_time:22.158s step_avg:21.51ms
step:1031/3250 train_time:22.463s step_avg:21.79ms
step:1032/3250 train_time:22.768s step_avg:22.06ms
step:1033/3250 train_time:23.071s step_avg:22.33ms
step:1034/3250 train_time:23.376s step_avg:22.61ms
step:1035/3250 train_time:23.679s step_avg:22.88ms
step:1036/3250 train_time:23.981s step_avg:23.15ms
step:1037/3250 train_time:24.284s step_avg:23.42ms
step:1038/3250 train_time:24.588s step_avg:23.69ms
step:1039/3250 train_time:24.890s step_avg:23.96ms
step:1040/3250 train_time:25.196s step_avg:24.23ms
step:1041/3250 train_time:25.499s step_avg:24.49ms
step:1042/3250 train_time:25.803s step_avg:24.76ms
step:1043/3250 train_time:26.108s step_avg:25.03ms
step:1044/3250 train_time:26.414s step_avg:25.30ms
step:1045/3250 train_time:26.717s step_avg:25.57ms
step:1046/3250 train_time:27.021s step_avg:25.83ms
step:1047/3250 train_time:27.322s step_avg:26.10ms
step:1048/3250 train_time:27.625s step_avg:26.36ms
step:1049/3250 train_time:27.928s step_avg:26.62ms
step:1050/3250 train_time:28.234s step_avg:26.89ms
step:1051/3250 train_time:28.536s step_avg:27.15ms
step:1052/3250 train_time:28.839s step_avg:27.41ms
step:1053/3250 train_time:29.141s step_avg:27.67ms
step:1054/3250 train_time:29.444s step_avg:27.94ms
step:1055/3250 train_time:29.747s step_avg:28.20ms
step:1056/3250 train_time:30.054s step_avg:28.46ms
step:1057/3250 train_time:30.357s step_avg:28.72ms
step:1058/3250 train_time:30.660s step_avg:28.98ms
step:1059/3250 train_time:30.963s step_avg:29.24ms
step:1060/3250 train_time:31.265s step_avg:29.50ms
step:1061/3250 train_time:31.568s step_avg:29.75ms
step:1062/3250 train_time:31.871s step_avg:30.01ms
step:1063/3250 train_time:32.175s step_avg:30.27ms
step:1064/3250 train_time:32.479s step_avg:30.53ms
step:1065/3250 train_time:32.783s step_avg:30.78ms
step:1066/3250 train_time:33.085s step_avg:31.04ms
step:1067/3250 train_time:33.388s step_avg:31.29ms
step:1068/3250 train_time:33.694s step_avg:31.55ms
step:1069/3250 train_time:33.997s step_avg:31.80ms
step:1070/3250 train_time:34.300s step_avg:32.06ms
step:1071/3250 train_time:34.660s step_avg:32.36ms
step:1072/3250 train_time:34.964s step_avg:32.62ms
step:1073/3250 train_time:35.268s step_avg:32.87ms
step:1074/3250 train_time:35.575s step_avg:33.12ms
step:1075/3250 train_time:35.881s step_avg:33.38ms
step:1076/3250 train_time:36.186s step_avg:33.63ms
step:1077/3250 train_time:36.490s step_avg:33.88ms
step:1078/3250 train_time:36.794s step_avg:34.13ms
step:1079/3250 train_time:37.096s step_avg:34.38ms
step:1080/3250 train_time:37.399s step_avg:34.63ms
step:1081/3250 train_time:37.702s step_avg:34.88ms
step:1082/3250 train_time:38.004s step_avg:35.12ms
step:1083/3250 train_time:38.305s step_avg:35.37ms
step:1084/3250 train_time:38.608s step_avg:35.62ms
step:1085/3250 train_time:38.912s step_avg:35.86ms
step:1086/3250 train_time:39.216s step_avg:36.11ms
step:1087/3250 train_time:39.518s step_avg:36.36ms
step:1088/3250 train_time:39.820s step_avg:36.60ms
step:1089/3250 train_time:40.124s step_avg:36.84ms
step:1090/3250 train_time:40.427s step_avg:37.09ms
step:1091/3250 train_time:40.733s step_avg:37.34ms
step:1092/3250 train_time:41.036s step_avg:37.58ms
step:1093/3250 train_time:41.340s step_avg:37.82ms
step:1094/3250 train_time:41.644s step_avg:38.07ms
step:1095/3250 train_time:41.948s step_avg:38.31ms
step:1096/3250 train_time:42.254s step_avg:38.55ms
step:1097/3250 train_time:42.558s step_avg:38.79ms
step:1098/3250 train_time:42.861s step_avg:39.04ms
step:1099/3250 train_time:43.163s step_avg:39.27ms
step:1100/3250 train_time:43.466s step_avg:39.51ms
step:1101/3250 train_time:43.770s step_avg:39.75ms
step:1102/3250 train_time:44.075s step_avg:40.00ms
step:1103/3250 train_time:44.379s step_avg:40.23ms
step:1104/3250 train_time:44.681s step_avg:40.47ms
step:1105/3250 train_time:44.985s step_avg:40.71ms
step:1106/3250 train_time:45.289s step_avg:40.95ms
step:1107/3250 train_time:45.596s step_avg:41.19ms
step:1108/3250 train_time:45.899s step_avg:41.42ms
step:1109/3250 train_time:46.200s step_avg:41.66ms
step:1110/3250 train_time:46.504s step_avg:41.90ms
step:1111/3250 train_time:46.808s step_avg:42.13ms
step:1112/3250 train_time:47.114s step_avg:42.37ms
step:1113/3250 train_time:47.420s step_avg:42.61ms
step:1114/3250 train_time:47.723s step_avg:42.84ms
step:1115/3250 train_time:48.025s step_avg:43.07ms
step:1116/3250 train_time:48.326s step_avg:43.30ms
step:1117/3250 train_time:48.630s step_avg:43.54ms
step:1118/3250 train_time:48.935s step_avg:43.77ms
step:1119/3250 train_time:49.238s step_avg:44.00ms
step:1120/3250 train_time:49.541s step_avg:44.23ms
step:1121/3250 train_time:49.844s step_avg:44.46ms
step:1122/3250 train_time:50.147s step_avg:44.69ms
step:1123/3250 train_time:50.454s step_avg:44.93ms
step:1124/3250 train_time:50.758s step_avg:45.16ms
step:1125/3250 train_time:51.060s step_avg:45.39ms
step:1125/3250 val_loss:3.54806 train_time:51.061s step_avg:45.39ms
step:1126/3250 train_time:51.368s step_avg:45.62ms
step:1127/3250 train_time:51.670s step_avg:45.85ms
step:1128/3250 train_time:51.973s step_avg:46.08ms
step:1129/3250 train_time:52.278s step_avg:46.30ms
step:1130/3250 train_time:52.585s step_avg:46.54ms
step:1131/3250 train_time:52.890s step_avg:46.76ms
step:1132/3250 train_time:53.194s step_avg:46.99ms
step:1133/3250 train_time:53.499s step_avg:47.22ms
step:1134/3250 train_time:53.806s step_avg:47.45ms
step:1135/3250 train_time:54.110s step_avg:47.67ms
step:1136/3250 train_time:54.413s step_avg:47.90ms
step:1137/3250 train_time:54.717s step_avg:48.12ms
step:1138/3250 train_time:55.022s step_avg:48.35ms
step:1139/3250 train_time:55.326s step_avg:48.57ms
step:1140/3250 train_time:55.630s step_avg:48.80ms
step:1141/3250 train_time:55.933s step_avg:49.02ms
step:1142/3250 train_time:56.237s step_avg:49.24ms
step:1143/3250 train_time:56.542s step_avg:49.47ms
step:1144/3250 train_time:56.849s step_avg:49.69ms
step:1145/3250 train_time:57.152s step_avg:49.91ms
step:1146/3250 train_time:57.458s step_avg:50.14ms
step:1147/3250 train_time:57.763s step_avg:50.36ms
step:1148/3250 train_time:58.066s step_avg:50.58ms
step:1149/3250 train_time:58.368s step_avg:50.80ms
step:1150/3250 train_time:58.671s step_avg:51.02ms
step:1151/3250 train_time:58.974s step_avg:51.24ms
