# REQ-035 Arm A seed replication. Per-matrix log10(C) (equilibrium curvature intercept, lam_eq=mean top_eigenvalue over steps 2250-2750; fit log10 lam = log10 C - k log10 s over s in {0.6,1.0,1.7}) for seeds 0-3, + k(seed0).
matrix	logC_s0	logC_s1	logC_s2	logC_s3	k_s0	max_pair_ddex
blocks.0.attn.k.weight	4.2334	4.0514	4.3580	4.5536	0.898	0.5022
blocks.0.attn.proj.weight	4.2523	4.1235	4.3895	4.1742	-0.047	0.2660
blocks.0.attn.q.weight	4.2934	4.0338	4.3263	4.3562	0.933	0.3224
blocks.0.attn.v.weight	4.5861	4.4573	4.6350	4.6641	0.909	0.2068
blocks.0.mlp.fc.weight	4.2897	4.1252	4.2474	4.1071	-0.307	0.1827
blocks.0.mlp.proj.weight	4.6757	4.6299	4.6456	4.5675	0.710	0.1082
blocks.1.attn.k.weight	4.0278	4.2915	4.1755	4.2487	1.354	0.2636
blocks.1.attn.proj.weight	3.8099	3.7049	4.0567	3.8419	0.401	0.3518
blocks.1.attn.q.weight	4.1639	4.0985	4.0201	4.0298	1.474	0.1437
blocks.1.attn.v.weight	4.2101	4.0898	4.2455	4.1790	1.364	0.1556
blocks.1.mlp.fc.weight	3.7848	3.7894	3.9337	3.8801	0.681	0.1488
blocks.1.mlp.proj.weight	4.0958	4.1719	4.2655	4.2217	0.642	0.1696
blocks.10.attn.k.weight	3.9702	4.2369	3.9691	4.1125	1.281	0.2678
blocks.10.attn.proj.weight	3.8637	4.0084	3.8587	4.0518	1.202	0.1931
blocks.10.attn.q.weight	3.9514	4.3008	4.0933	4.2067	1.199	0.3494
blocks.10.attn.v.weight	4.0278	4.2281	4.0834	4.3957	2.002	0.3678
blocks.10.mlp.fc.weight	3.9381	4.0257	3.9693	4.1593	1.157	0.2212
blocks.10.mlp.proj.weight	4.1283	4.3489	4.3042	4.3523	1.359	0.2241
blocks.11.attn.k.weight	4.1003	4.0393	3.9721	4.2442	1.357	0.2721
blocks.11.attn.proj.weight	4.7084	4.6657	4.5709	4.7680	1.292	0.1971
blocks.11.attn.q.weight	4.0807	3.9182	4.1175	4.1042	1.070	0.1993
blocks.11.attn.v.weight	4.1291	4.1427	3.9165	4.2514	1.402	0.3349
blocks.11.mlp.fc.weight	4.6856	4.6806	4.6201	4.6070	1.631	0.0786
blocks.11.mlp.proj.weight	5.6789	5.6939	5.7135	5.7515	1.684	0.0726
blocks.2.attn.k.weight	3.9871	3.7048	4.0032	3.9610	1.513	0.2984
blocks.2.attn.proj.weight	3.4727	3.5434	3.6975	3.5386	1.051	0.2249
blocks.2.attn.q.weight	4.2194	3.6336	4.0682	3.9779	1.662	0.5858
blocks.2.attn.v.weight	4.3901	4.2490	4.3772	4.1993	2.210	0.1909
blocks.2.mlp.fc.weight	3.8798	3.8256	3.9952	3.9933	1.275	0.1697
