fork_seed	arm	step	name	weight_frob
f1500_s0	req038	1500	blocks.0.attn.k.weight	56.1570
f1500_s0	req038	1500	blocks.0.attn.proj.weight	52.0148
f1500_s0	req038	1500	blocks.0.attn.q.weight	56.8700
f1500_s0	req038	1500	blocks.0.attn.v.weight	54.4490
f1500_s0	req038	1500	blocks.0.mlp.fc.weight	118.7641
f1500_s0	req038	1500	blocks.0.mlp.proj.weight	60.2310
f1500_s0	req038	1500	blocks.1.attn.k.weight	54.2220
f1500_s0	req038	1500	blocks.1.attn.proj.weight	49.9735
f1500_s0	req038	1500	blocks.1.attn.q.weight	55.8263
f1500_s0	req038	1500	blocks.1.attn.v.weight	51.1423
f1500_s0	req038	1500	blocks.1.mlp.fc.weight	125.8441
f1500_s0	req038	1500	blocks.1.mlp.proj.weight	62.9627
f1500_s0	req038	1500	blocks.10.attn.k.weight	53.6509
f1500_s0	req038	1500	blocks.10.attn.proj.weight	64.7266
f1500_s0	req038	1500	blocks.10.attn.q.weight	53.9663
f1500_s0	req038	1500	blocks.10.attn.v.weight	71.1881
f1500_s0	req038	1500	blocks.10.mlp.fc.weight	128.8309
f1500_s0	req038	1500	blocks.10.mlp.proj.weight	67.7937
f1500_s0	req038	1500	blocks.11.attn.k.weight	53.5269
f1500_s0	req038	1500	blocks.11.attn.proj.weight	65.3426
f1500_s0	req038	1500	blocks.11.attn.q.weight	53.6739
f1500_s0	req038	1500	blocks.11.attn.v.weight	72.2867
f1500_s0	req038	1500	blocks.11.mlp.fc.weight	126.6959
f1500_s0	req038	1500	blocks.11.mlp.proj.weight	68.4461
f1500_s0	req038	1500	blocks.2.attn.k.weight	55.6397
f1500_s0	req038	1500	blocks.2.attn.proj.weight	51.3354
f1500_s0	req038	1500	blocks.2.attn.q.weight	55.7314
f1500_s0	req038	1500	blocks.2.attn.v.weight	53.2089
f1500_s0	req038	1500	blocks.2.mlp.fc.weight	127.1447
f1500_s0	req038	1500	blocks.2.mlp.proj.weight	63.5653
f1500_s0	req038	1500	blocks.3.attn.k.weight	55.2225
f1500_s0	req038	1500	blocks.3.attn.proj.weight	53.9151
f1500_s0	req038	1500	blocks.3.attn.q.weight	53.7276
f1500_s0	req038	1500	blocks.3.attn.v.weight	56.9126
f1500_s0	req038	1500	blocks.3.mlp.fc.weight	127.5619
f1500_s0	req038	1500	blocks.3.mlp.proj.weight	64.1387
f1500_s0	req038	1500	blocks.4.attn.k.weight	54.7859
f1500_s0	req038	1500	blocks.4.attn.proj.weight	56.8552
f1500_s0	req038	1500	blocks.4.attn.q.weight	53.9490
f1500_s0	req038	1500	blocks.4.attn.v.weight	60.7087
f1500_s0	req038	1500	blocks.4.mlp.fc.weight	128.3021
f1500_s0	req038	1500	blocks.4.mlp.proj.weight	64.5160
f1500_s0	req038	1500	blocks.5.attn.k.weight	54.4284
f1500_s0	req038	1500	blocks.5.attn.proj.weight	56.7637
f1500_s0	req038	1500	blocks.5.attn.q.weight	54.7585
f1500_s0	req038	1500	blocks.5.attn.v.weight	60.7016
f1500_s0	req038	1500	blocks.5.mlp.fc.weight	128.4405
f1500_s0	req038	1500	blocks.5.mlp.proj.weight	64.8655
f1500_s0	req038	1500	blocks.6.attn.k.weight	54.6596
f1500_s0	req038	1500	blocks.6.attn.proj.weight	61.9321
f1500_s0	req038	1500	blocks.6.attn.q.weight	53.0208
f1500_s0	req038	1500	blocks.6.attn.v.weight	67.3259
f1500_s0	req038	1500	blocks.6.mlp.fc.weight	128.3945
f1500_s0	req038	1500	blocks.6.mlp.proj.weight	65.3776
f1500_s0	req038	1500	blocks.7.attn.k.weight	54.4817
f1500_s0	req038	1500	blocks.7.attn.proj.weight	60.5991
f1500_s0	req038	1500	blocks.7.attn.q.weight	53.9606
f1500_s0	req038	1500	blocks.7.attn.v.weight	65.5710
f1500_s0	req038	1500	blocks.7.mlp.fc.weight	128.7762
f1500_s0	req038	1500	blocks.7.mlp.proj.weight	65.9074
f1500_s0	req038	1500	blocks.8.attn.k.weight	54.4389
f1500_s0	req038	1500	blocks.8.attn.proj.weight	63.3783
f1500_s0	req038	1500	blocks.8.attn.q.weight	53.7930
f1500_s0	req038	1500	blocks.8.attn.v.weight	69.9157
f1500_s0	req038	1500	blocks.8.mlp.fc.weight	129.2059
f1500_s0	req038	1500	blocks.8.mlp.proj.weight	66.5580
f1500_s0	req038	1500	blocks.9.attn.k.weight	54.0637
f1500_s0	req038	1500	blocks.9.attn.proj.weight	66.6106
f1500_s0	req038	1500	blocks.9.attn.q.weight	53.6561
f1500_s0	req038	1500	blocks.9.attn.v.weight	73.3380
f1500_s0	req038	1500	blocks.9.mlp.fc.weight	129.3088
f1500_s0	req038	1500	blocks.9.mlp.proj.weight	67.3260
