# REQ-044 paired differences (val@2750, negative=first optimizer better). n=3 independent seeds; sd = across-seed population sd.
batch	batch_tokens	diff	seed0	seed1	seed2	mean	sd	min	max
b1x	524288	mu95_minus_mu0	+0.00004	+0.00012	-0.00003	+0.00004	0.00006	-0.00003	+0.00012
b1x	524288	bimax_minus_mu0	-0.01065	-0.01043	-0.01032	-0.01047	0.00014	-0.01065	-0.01032
b1x	524288	kmax_minus_mu0	-0.00543	-0.00521	-0.00548	-0.00537	0.00012	-0.00548	-0.00521
b1x	524288	kmax_minus_bimax	+0.00522	+0.00522	+0.00484	+0.00509	0.00018	+0.00484	+0.00522
b2x	1048576	mu95_minus_mu0	+0.00004	+0.00003	+0.00003	+0.00003	0.00000	+0.00003	+0.00004
b2x	1048576	bimax_minus_mu0	-0.00732	-0.00751	-0.00714	-0.00732	0.00015	-0.00751	-0.00714
b2x	1048576	kmax_minus_mu0	-0.00672	-0.00666	-0.00656	-0.00665	0.00007	-0.00672	-0.00656
b2x	1048576	kmax_minus_bimax	+0.00060	+0.00085	+0.00058	+0.00068	0.00012	+0.00058	+0.00085
b4x	2097152	mu95_minus_mu0	-0.00006	-0.00005	+0.00011	-0.00000	0.00008	-0.00006	+0.00011
b4x	2097152	bimax_minus_mu0	-0.00445	-0.00425	-0.00408	-0.00426	0.00015	-0.00445	-0.00408
b4x	2097152	kmax_minus_mu0	-0.00671	-0.00658	-0.00655	-0.00661	0.00007	-0.00671	-0.00655
b4x	2097152	kmax_minus_bimax	-0.00226	-0.00233	-0.00247	-0.00235	0.00009	-0.00247	-0.00226
b8x	4194304	mu95_minus_mu0	+0.00004	+0.00013	-0.00015	+0.00001	0.00012	-0.00015	+0.00013
b8x	4194304	bimax_minus_mu0	-0.00226	-0.00178	-0.00187	-0.00197	0.00021	-0.00226	-0.00178
b8x	4194304	kmax_minus_mu0	-0.00609	-0.00643	-0.00628	-0.00627	0.00014	-0.00643	-0.00609
b8x	4194304	kmax_minus_bimax	-0.00383	-0.00465	-0.00441	-0.00430	0.00034	-0.00465	-0.00383
b16x	8388608	mu95_minus_mu0	+0.00047	+0.00043	+0.00003	+0.00031	0.00020	+0.00003	+0.00047
b16x	8388608	bimax_minus_mu0	+0.00045	+0.00075	+0.00045	+0.00055	0.00014	+0.00045	+0.00075
b16x	8388608	kmax_minus_mu0	-0.00444	-0.00466	-0.00496	-0.00469	0.00021	-0.00496	-0.00444
b16x	8388608	kmax_minus_bimax	-0.00489	-0.00541	-0.00541	-0.00524	0.00025	-0.00541	-0.00489
