seed	batch	batch_tokens	kernel	final_val_2750
0	b1x	524288	mu0	3.34610
0	b1x	524288	mu95	3.34614
0	b1x	524288	bimax	3.33545
0	b1x	524288	kmax	3.34067
0	b2x	1048576	mu0	3.29076
0	b2x	1048576	mu95	3.29080
0	b2x	1048576	bimax	3.28344
0	b2x	1048576	kmax	3.28404
0	b4x	2097152	mu0	3.24367
0	b4x	2097152	mu95	3.24361
0	b4x	2097152	bimax	3.23922
0	b4x	2097152	kmax	3.23696
0	b8x	4194304	mu0	3.20575
0	b8x	4194304	mu95	3.20579
0	b8x	4194304	bimax	3.20349
0	b8x	4194304	kmax	3.19966
0	b16x	8388608	mu0	3.17334
0	b16x	8388608	mu95	3.17381
0	b16x	8388608	bimax	3.17379
0	b16x	8388608	kmax	3.16890
1	b1x	524288	mu0	3.34572
1	b1x	524288	mu95	3.34584
1	b1x	524288	bimax	3.33529
1	b1x	524288	kmax	3.34051
1	b2x	1048576	mu0	3.28993
1	b2x	1048576	mu95	3.28996
1	b2x	1048576	bimax	3.28242
1	b2x	1048576	kmax	3.28327
1	b4x	2097152	mu0	3.24290
1	b4x	2097152	mu95	3.24285
1	b4x	2097152	bimax	3.23865
1	b4x	2097152	kmax	3.23632
1	b8x	4194304	mu0	3.20515
1	b8x	4194304	mu95	3.20528
1	b8x	4194304	bimax	3.20337
1	b8x	4194304	kmax	3.19872
1	b16x	8388608	mu0	3.17298
1	b16x	8388608	mu95	3.17341
1	b16x	8388608	bimax	3.17373
1	b16x	8388608	kmax	3.16832
2	b1x	524288	mu0	3.34640
2	b1x	524288	mu95	3.34637
2	b1x	524288	bimax	3.33608
2	b1x	524288	kmax	3.34092
2	b2x	1048576	mu0	3.29069
2	b2x	1048576	mu95	3.29072
2	b2x	1048576	bimax	3.28355
2	b2x	1048576	kmax	3.28413
2	b4x	2097152	mu0	3.24317
2	b4x	2097152	mu95	3.24328
2	b4x	2097152	bimax	3.23909
2	b4x	2097152	kmax	3.23662
2	b8x	4194304	mu0	3.20568
2	b8x	4194304	mu95	3.20553
2	b8x	4194304	bimax	3.20381
2	b8x	4194304	kmax	3.19940
2	b16x	8388608	mu0	3.17363
2	b16x	8388608	mu95	3.17366
2	b16x	8388608	bimax	3.17408
2	b16x	8388608	kmax	3.16867
