# REQ-043 n=4 activation/backward probe at fork-1500 (seeds 0-3). d_rms=RMS of output-gradient d (backward), a_rms=RMS of input activation a (forward, SHARED by q/k/v).
# seed 0 = REQ-038's probe; seeds 1-3 = this run. Per-type mean over the type's matrices across 12 layers.
seed	type	d_rms	a_rms	d_eff_rank
0	attn.q	0.002581	1.003637	72.50
0	attn.k	0.002665	1.003637	76.05
0	attn.v	0.003987	1.003637	106.21
0	attn.proj	0.003955	1.120161	388.95
0	mlp.fc	0.003875	0.608735	901.59
0	mlp.proj	0.003452	1.649074	359.28
1	attn.q	0.002629	1.019784	72.69
1	attn.k	0.002706	1.019784	78.17
1	attn.v	0.003910	1.019784	113.63
1	attn.proj	0.003936	1.138808	372.96
1	mlp.fc	0.003913	0.618511	851.25
1	mlp.proj	0.003405	1.656914	348.81
2	attn.q	0.002525	1.006206	79.87
2	attn.k	0.002607	1.006206	76.77
2	attn.v	0.003919	1.006206	98.86
2	attn.proj	0.003894	1.112990	380.73
2	mlp.fc	0.003827	0.610794	895.38
2	mlp.proj	0.003390	1.715905	352.56
3	attn.q	0.002569	0.998243	76.87
3	attn.k	0.002637	0.998243	76.97
3	attn.v	0.003874	0.998243	115.09
3	attn.proj	0.003929	1.129836	382.77
3	mlp.fc	0.003775	0.602406	863.16
3	mlp.proj	0.003431	1.627141	353.97
#
# === n=4 q/k GRADIENT DEFICIT (the deliverable) ===
# seed	q_drms	k_drms	v_drms	(q,k)/v	log10(q/v)	log10(k/v)
# 0	0.002581	0.002665	0.003987	0.6580	-0.1887	-0.1749
# 1	0.002629	0.002706	0.003910	0.6822	-0.1724	-0.1599
# 2	0.002525	0.002607	0.003919	0.6548	-0.1909	-0.1770
# 3	0.002569	0.002637	0.003874	0.6719	-0.1784	-0.1670
# (q,k)/v: mean=0.6667 sd=0.0110 range=[0.6548,0.6822]
# q deficit log10(q/v): mean=-0.1826 dex t=-41.88 (n=4) -> q receives 0.657x v's output-gradient
# k deficit log10(k/v): mean=-0.1697 dex t=-43.27 (n=4) -> k receives 0.677x v's output-gradient
#
# === BAND 21: a_rms identical for q/k/v within each seed (deficit is PURELY backward) ===
# seed0: a_rms q=1.00364 k=1.00364 v=1.00364 identical=True
# seed1: a_rms q=1.01978 k=1.01978 v=1.01978 identical=True
# seed2: a_rms q=1.00621 k=1.00621 v=1.00621 identical=True
# seed3: a_rms q=0.99824 k=0.99824 v=0.99824 identical=True
