seed	arm	matrix	type	block	multiplier
2	0	blocks.0.mlp.fc.weight	mlp.fc	0	0.85
2	0	blocks.1.mlp.fc.weight	mlp.fc	1	1.0
2	0	blocks.2.mlp.fc.weight	mlp.fc	2	1.3
2	0	blocks.3.mlp.fc.weight	mlp.fc	3	1.7
2	0	blocks.4.mlp.fc.weight	mlp.fc	4	0.5
2	0	blocks.5.mlp.fc.weight	mlp.fc	5	0.65
2	0	blocks.6.mlp.fc.weight	mlp.fc	6	0.85
2	0	blocks.7.mlp.fc.weight	mlp.fc	7	1.0
2	0	blocks.8.mlp.fc.weight	mlp.fc	8	1.3
2	0	blocks.9.mlp.fc.weight	mlp.fc	9	1.7
2	0	blocks.10.mlp.fc.weight	mlp.fc	10	0.5
2	0	blocks.11.mlp.fc.weight	mlp.fc	11	0.65
2	0	blocks.0.mlp.proj.weight	mlp.proj	0	0.85
2	0	blocks.1.mlp.proj.weight	mlp.proj	1	1.0
2	0	blocks.2.mlp.proj.weight	mlp.proj	2	1.3
2	0	blocks.3.mlp.proj.weight	mlp.proj	3	1.7
2	0	blocks.4.mlp.proj.weight	mlp.proj	4	0.5
2	0	blocks.5.mlp.proj.weight	mlp.proj	5	0.65
2	0	blocks.6.mlp.proj.weight	mlp.proj	6	0.85
2	0	blocks.7.mlp.proj.weight	mlp.proj	7	1.0
2	0	blocks.8.mlp.proj.weight	mlp.proj	8	1.3
2	0	blocks.9.mlp.proj.weight	mlp.proj	9	1.7
2	0	blocks.10.mlp.proj.weight	mlp.proj	10	0.5
2	0	blocks.11.mlp.proj.weight	mlp.proj	11	0.65
2	0	blocks.0.attn.q.weight	attn.q	0	0.85
2	0	blocks.0.attn.k.weight	attn.k	0	0.85
2	0	blocks.0.attn.v.weight	attn.v	0	0.85
2	0	blocks.0.attn.proj.weight	attn.proj	0	0.85
2	0	blocks.1.attn.q.weight	attn.q	1	1.0
2	0	blocks.1.attn.k.weight	attn.k	1	1.0
2	0	blocks.1.attn.v.weight	attn.v	1	1.0
2	0	blocks.1.attn.proj.weight	attn.proj	1	1.0
2	0	blocks.2.attn.q.weight	attn.q	2	1.3
2	0	blocks.2.attn.k.weight	attn.k	2	1.3
2	0	blocks.2.attn.v.weight	attn.v	2	1.3
2	0	blocks.2.attn.proj.weight	attn.proj	2	1.3
2	0	blocks.3.attn.q.weight	attn.q	3	1.7
2	0	blocks.3.attn.k.weight	attn.k	3	1.7
2	0	blocks.3.attn.v.weight	attn.v	3	1.7
2	0	blocks.3.attn.proj.weight	attn.proj	3	1.7
2	0	blocks.4.attn.q.weight	attn.q	4	0.5
2	0	blocks.4.attn.k.weight	attn.k	4	0.5
2	0	blocks.4.attn.v.weight	attn.v	4	0.5
2	0	blocks.4.attn.proj.weight	attn.proj	4	0.5
2	0	blocks.5.attn.q.weight	attn.q	5	0.65
2	0	blocks.5.attn.k.weight	attn.k	5	0.65
2	0	blocks.5.attn.v.weight	attn.v	5	0.65
2	0	blocks.5.attn.proj.weight	attn.proj	5	0.65
2	0	blocks.6.attn.q.weight	attn.q	6	0.85
2	0	blocks.6.attn.k.weight	attn.k	6	0.85
2	0	blocks.6.attn.v.weight	attn.v	6	0.85
2	0	blocks.6.attn.proj.weight	attn.proj	6	0.85
2	0	blocks.7.attn.q.weight	attn.q	7	1.0
2	0	blocks.7.attn.k.weight	attn.k	7	1.0
2	0	blocks.7.attn.v.weight	attn.v	7	1.0
2	0	blocks.7.attn.proj.weight	attn.proj	7	1.0
2	0	blocks.8.attn.q.weight	attn.q	8	1.3
2	0	blocks.8.attn.k.weight	attn.k	8	1.3
2	0	blocks.8.attn.v.weight	attn.v	8	1.3
2	0	blocks.8.attn.proj.weight	attn.proj	8	1.3
2	0	blocks.9.attn.q.weight	attn.q	9	1.7
