=== base351 : train_gpt_muonh_fast_slow_decay.py --warmup_end 100 --plateau_end 200 --fast_decay_end 1750 --peak_lr 0.030 --floor_lr 0.006 --fast_decay_exponent 0.6 --slow_decay_schedule linear --min_lr 0.0 --train_steps 3125 --seed 0  ===
W0827 05:39:34.859000 2810 torch/distributed/run.py:852] 
W0827 05:39:34.859000 2810 torch/distributed/run.py:852] *****************************************
W0827 05:39:34.859000 2810 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0827 05:39:34.859000 2810 torch/distributed/run.py:852] *****************************************
logs/muonh_fast_slow_decay_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_steps3125_seed0.txt
step:0/3125 val_loss:10.98535 train_time:0.000s step_avg:nanms
step:1/3125 train_time:40.634s step_avg:40634.09ms
step:2/3125 train_time:40.782s step_avg:20391.07ms
step:3/3125 train_time:40.937s step_avg:13645.68ms
step:4/3125 train_time:41.091s step_avg:10272.78ms
step:5/3125 train_time:41.245s step_avg:8248.99ms
step:6/3125 train_time:41.400s step_avg:6899.99ms
step:7/3125 train_time:41.556s step_avg:5936.60ms
step:8/3125 train_time:41.712s step_avg:5213.95ms
step:9/3125 train_time:41.868s step_avg:4651.98ms
step:10/3125 train_time:42.023s step_avg:4202.28ms
step:11/3125 train_time:42.179s step_avg:3834.48ms
step:12/3125 train_time:42.335s step_avg:3527.89ms
step:13/3125 train_time:42.488s step_avg:3268.32ms
step:14/3125 train_time:42.643s step_avg:3045.91ms
step:15/3125 train_time:42.802s step_avg:2853.47ms
step:16/3125 train_time:42.960s step_avg:2684.98ms
step:17/3125 train_time:43.116s step_avg:2536.21ms
step:18/3125 train_time:43.273s step_avg:2404.05ms
step:19/3125 train_time:43.427s step_avg:2285.62ms
step:20/3125 train_time:43.582s step_avg:2179.09ms
step:21/3125 train_time:43.738s step_avg:2082.78ms
step:22/3125 train_time:43.893s step_avg:1995.14ms
step:23/3125 train_time:44.048s step_avg:1915.11ms
step:24/3125 train_time:44.204s step_avg:1841.82ms
step:25/3125 train_time:44.360s step_avg:1774.40ms
step:26/3125 train_time:44.518s step_avg:1712.24ms
step:27/3125 train_time:44.675s step_avg:1654.64ms
step:28/3125 train_time:44.830s step_avg:1601.08ms
step:29/3125 train_time:44.985s step_avg:1551.21ms
step:30/3125 train_time:45.139s step_avg:1504.64ms
step:31/3125 train_time:45.293s step_avg:1461.07ms
step:32/3125 train_time:45.448s step_avg:1420.24ms
step:33/3125 train_time:45.603s step_avg:1381.92ms
step:34/3125 train_time:45.760s step_avg:1345.88ms
step:35/3125 train_time:45.916s step_avg:1311.88ms
step:36/3125 train_time:46.072s step_avg:1279.77ms
step:37/3125 train_time:46.227s step_avg:1249.37ms
step:38/3125 train_time:46.382s step_avg:1220.57ms
step:39/3125 train_time:46.538s step_avg:1193.28ms
step:40/3125 train_time:46.696s step_avg:1167.39ms
step:41/3125 train_time:46.852s step_avg:1142.73ms
step:42/3125 train_time:47.007s step_avg:1119.22ms
step:43/3125 train_time:47.162s step_avg:1096.80ms
step:44/3125 train_time:47.318s step_avg:1075.42ms
step:45/3125 train_time:47.475s step_avg:1054.99ms
step:46/3125 train_time:47.631s step_avg:1035.45ms
step:47/3125 train_time:47.786s step_avg:1016.73ms
step:48/3125 train_time:47.941s step_avg:998.77ms
step:49/3125 train_time:48.100s step_avg:981.63ms
step:50/3125 train_time:48.258s step_avg:965.16ms
step:51/3125 train_time:48.414s step_avg:949.29ms
step:52/3125 train_time:48.570s step_avg:934.03ms
step:53/3125 train_time:48.725s step_avg:919.35ms
step:54/3125 train_time:48.881s step_avg:905.20ms
step:55/3125 train_time:49.038s step_avg:891.60ms
step:56/3125 train_time:49.195s step_avg:878.47ms
step:57/3125 train_time:49.349s step_avg:865.78ms
step:58/3125 train_time:49.504s step_avg:853.52ms
step:59/3125 train_time:49.661s step_avg:841.70ms
step:60/3125 train_time:49.817s step_avg:830.29ms
step:61/3125 train_time:49.974s step_avg:819.25ms
step:62/3125 train_time:50.130s step_avg:808.55ms
step:63/3125 train_time:50.286s step_avg:798.19ms
step:64/3125 train_time:50.441s step_avg:788.14ms
step:65/3125 train_time:50.600s step_avg:778.46ms
step:66/3125 train_time:50.758s step_avg:769.06ms
step:67/3125 train_time:50.914s step_avg:759.91ms
step:68/3125 train_time:51.071s step_avg:751.05ms
step:69/3125 train_time:51.227s step_avg:742.43ms
step:70/3125 train_time:51.382s step_avg:734.02ms
step:71/3125 train_time:51.538s step_avg:725.88ms
step:72/3125 train_time:51.694s step_avg:717.98ms
step:73/3125 train_time:51.849s step_avg:710.27ms
step:74/3125 train_time:52.005s step_avg:702.76ms
step:75/3125 train_time:52.161s step_avg:695.48ms
step:76/3125 train_time:52.318s step_avg:688.39ms
step:77/3125 train_time:52.475s step_avg:681.49ms
step:78/3125 train_time:52.630s step_avg:674.74ms
step:79/3125 train_time:52.785s step_avg:668.17ms
step:80/3125 train_time:52.940s step_avg:661.75ms
step:81/3125 train_time:53.099s step_avg:655.54ms
step:82/3125 train_time:53.255s step_avg:649.45ms
step:83/3125 train_time:53.410s step_avg:643.49ms
step:84/3125 train_time:53.565s step_avg:637.68ms
step:85/3125 train_time:53.721s step_avg:632.01ms
step:86/3125 train_time:53.879s step_avg:626.50ms
step:87/3125 train_time:54.036s step_avg:621.10ms
step:88/3125 train_time:54.193s step_avg:615.83ms
step:89/3125 train_time:54.348s step_avg:610.66ms
step:90/3125 train_time:54.504s step_avg:605.60ms
step:91/3125 train_time:54.660s step_avg:600.66ms
step:92/3125 train_time:54.815s step_avg:595.81ms
step:93/3125 train_time:54.971s step_avg:591.08ms
step:94/3125 train_time:55.126s step_avg:586.44ms
step:95/3125 train_time:55.281s step_avg:581.91ms
step:96/3125 train_time:55.436s step_avg:577.46ms
