=== base351b : train_gpt_muonh_fast_slow_decay.py --warmup_end 100 --plateau_end 200 --fast_decay_end 1750 --peak_lr 0.030 --floor_lr 0.006 --fast_decay_exponent 0.6 --slow_decay_schedule linear --min_lr 0.0 --train_steps 3125 --seed 0  ===
W0827 05:53:41.793000 6224 torch/distributed/run.py:852] 
W0827 05:53:41.793000 6224 torch/distributed/run.py:852] *****************************************
W0827 05:53:41.793000 6224 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0827 05:53:41.793000 6224 torch/distributed/run.py:852] *****************************************
logs/muonh_fast_slow_decay_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_steps3125_seed0.txt
step:0/3125 val_loss:10.98535 train_time:0.000s step_avg:nanms
step:1/3125 train_time:2.605s step_avg:2604.67ms
step:2/3125 train_time:2.750s step_avg:1374.84ms
step:3/3125 train_time:2.902s step_avg:967.24ms
step:4/3125 train_time:3.055s step_avg:763.78ms
step:5/3125 train_time:3.210s step_avg:642.04ms
step:6/3125 train_time:3.364s step_avg:560.59ms
step:7/3125 train_time:3.517s step_avg:502.43ms
step:8/3125 train_time:3.671s step_avg:458.85ms
step:9/3125 train_time:3.823s step_avg:424.79ms
step:10/3125 train_time:3.976s step_avg:397.61ms
step:11/3125 train_time:4.130s step_avg:375.43ms
step:12/3125 train_time:4.283s step_avg:356.88ms
step:13/3125 train_time:4.436s step_avg:341.22ms
step:14/3125 train_time:4.591s step_avg:327.96ms
step:15/3125 train_time:4.744s step_avg:316.28ms
step:16/3125 train_time:4.898s step_avg:306.09ms
step:17/3125 train_time:5.051s step_avg:297.12ms
step:18/3125 train_time:5.205s step_avg:289.14ms
step:19/3125 train_time:5.360s step_avg:282.10ms
step:20/3125 train_time:5.513s step_avg:275.67ms
step:21/3125 train_time:5.667s step_avg:269.84ms
step:22/3125 train_time:5.820s step_avg:264.55ms
step:23/3125 train_time:5.974s step_avg:259.75ms
step:24/3125 train_time:6.129s step_avg:255.36ms
step:25/3125 train_time:6.282s step_avg:251.28ms
step:26/3125 train_time:6.437s step_avg:247.58ms
step:27/3125 train_time:6.591s step_avg:244.13ms
step:28/3125 train_time:6.745s step_avg:240.89ms
step:29/3125 train_time:6.898s step_avg:237.87ms
step:30/3125 train_time:7.051s step_avg:235.05ms
step:31/3125 train_time:7.205s step_avg:232.42ms
step:32/3125 train_time:7.359s step_avg:229.95ms
step:33/3125 train_time:7.511s step_avg:227.62ms
step:34/3125 train_time:7.665s step_avg:225.44ms
step:35/3125 train_time:7.821s step_avg:223.45ms
step:36/3125 train_time:7.974s step_avg:221.50ms
step:37/3125 train_time:8.128s step_avg:219.67ms
step:38/3125 train_time:8.282s step_avg:217.93ms
step:39/3125 train_time:8.435s step_avg:216.28ms
step:40/3125 train_time:8.589s step_avg:214.72ms
step:41/3125 train_time:8.742s step_avg:213.22ms
step:42/3125 train_time:8.895s step_avg:211.79ms
step:43/3125 train_time:9.048s step_avg:210.43ms
step:44/3125 train_time:9.201s step_avg:209.12ms
step:45/3125 train_time:9.354s step_avg:207.88ms
step:46/3125 train_time:9.508s step_avg:206.70ms
step:47/3125 train_time:9.662s step_avg:205.58ms
step:48/3125 train_time:9.817s step_avg:204.53ms
step:49/3125 train_time:9.973s step_avg:203.52ms
step:50/3125 train_time:10.126s step_avg:202.51ms
step:51/3125 train_time:10.280s step_avg:201.57ms
step:52/3125 train_time:10.434s step_avg:200.65ms
step:53/3125 train_time:10.586s step_avg:199.74ms
step:54/3125 train_time:10.739s step_avg:198.88ms
step:55/3125 train_time:10.895s step_avg:198.09ms
step:56/3125 train_time:11.048s step_avg:197.29ms
step:57/3125 train_time:11.202s step_avg:196.53ms
step:58/3125 train_time:11.355s step_avg:195.78ms
step:59/3125 train_time:11.510s step_avg:195.09ms
step:60/3125 train_time:11.663s step_avg:194.39ms
step:61/3125 train_time:11.818s step_avg:193.74ms
step:62/3125 train_time:11.972s step_avg:193.10ms
step:63/3125 train_time:12.126s step_avg:192.47ms
step:64/3125 train_time:12.279s step_avg:191.85ms
step:65/3125 train_time:12.432s step_avg:191.27ms
step:66/3125 train_time:12.586s step_avg:190.69ms
step:67/3125 train_time:12.740s step_avg:190.14ms
step:68/3125 train_time:12.893s step_avg:189.61ms
step:69/3125 train_time:13.047s step_avg:189.08ms
step:70/3125 train_time:13.200s step_avg:188.58ms
step:71/3125 train_time:13.354s step_avg:188.08ms
step:72/3125 train_time:13.508s step_avg:187.60ms
step:73/3125 train_time:13.662s step_avg:187.15ms
step:74/3125 train_time:13.816s step_avg:186.70ms
step:75/3125 train_time:13.970s step_avg:186.27ms
step:76/3125 train_time:14.123s step_avg:185.83ms
step:77/3125 train_time:14.277s step_avg:185.41ms
step:78/3125 train_time:14.431s step_avg:185.01ms
step:79/3125 train_time:14.585s step_avg:184.62ms
step:80/3125 train_time:14.740s step_avg:184.25ms
step:81/3125 train_time:14.894s step_avg:183.87ms
step:82/3125 train_time:15.047s step_avg:183.50ms
step:83/3125 train_time:15.201s step_avg:183.14ms
step:84/3125 train_time:15.354s step_avg:182.78ms
step:85/3125 train_time:15.508s step_avg:182.45ms
step:86/3125 train_time:15.661s step_avg:182.11ms
step:87/3125 train_time:15.815s step_avg:181.78ms
step:88/3125 train_time:15.969s step_avg:181.47ms
step:89/3125 train_time:16.123s step_avg:181.15ms
step:90/3125 train_time:16.276s step_avg:180.85ms
step:91/3125 train_time:16.430s step_avg:180.55ms
step:92/3125 train_time:16.583s step_avg:180.25ms
step:93/3125 train_time:16.737s step_avg:179.96ms
step:94/3125 train_time:16.891s step_avg:179.69ms
step:95/3125 train_time:17.044s step_avg:179.41ms
step:96/3125 train_time:17.198s step_avg:179.14ms
step:97/3125 train_time:17.351s step_avg:178.88ms
step:98/3125 train_time:17.505s step_avg:178.62ms
step:99/3125 train_time:17.659s step_avg:178.38ms
step:100/3125 train_time:17.813s step_avg:178.13ms
step:101/3125 train_time:17.967s step_avg:177.90ms
step:102/3125 train_time:18.120s step_avg:177.65ms
step:103/3125 train_time:18.274s step_avg:177.42ms
step:104/3125 train_time:18.427s step_avg:177.19ms
step:105/3125 train_time:18.581s step_avg:176.96ms
step:106/3125 train_time:18.735s step_avg:176.74ms
step:107/3125 train_time:18.889s step_avg:176.53ms
step:108/3125 train_time:19.043s step_avg:176.32ms
step:109/3125 train_time:19.196s step_avg:176.11ms
step:110/3125 train_time:19.350s step_avg:175.91ms
step:111/3125 train_time:19.504s step_avg:175.71ms
step:112/3125 train_time:19.658s step_avg:175.52ms
step:113/3125 train_time:19.812s step_avg:175.33ms
step:114/3125 train_time:19.966s step_avg:175.14ms
step:115/3125 train_time:20.120s step_avg:174.95ms
step:116/3125 train_time:20.274s step_avg:174.77ms
step:117/3125 train_time:20.428s step_avg:174.60ms
step:118/3125 train_time:20.581s step_avg:174.41ms
step:119/3125 train_time:20.734s step_avg:174.23ms
step:120/3125 train_time:20.887s step_avg:174.06ms
step:121/3125 train_time:21.042s step_avg:173.90ms
step:122/3125 train_time:21.195s step_avg:173.73ms
step:123/3125 train_time:21.349s step_avg:173.57ms
step:124/3125 train_time:21.501s step_avg:173.40ms
step:125/3125 train_time:21.655s step_avg:173.24ms
step:125/3125 val_loss:4.93710 train_time:21.663s step_avg:173.30ms
step:126/3125 train_time:21.811s step_avg:173.10ms
step:127/3125 train_time:21.965s step_avg:172.95ms
step:128/3125 train_time:22.119s step_avg:172.80ms
step:129/3125 train_time:22.273s step_avg:172.66ms
step:130/3125 train_time:22.425s step_avg:172.50ms
step:131/3125 train_time:22.578s step_avg:172.35ms
step:132/3125 train_time:22.733s step_avg:172.22ms
step:133/3125 train_time:22.888s step_avg:172.09ms
step:134/3125 train_time:23.041s step_avg:171.95ms
step:135/3125 train_time:23.195s step_avg:171.82ms
step:136/3125 train_time:23.349s step_avg:171.68ms
step:137/3125 train_time:23.502s step_avg:171.55ms
step:138/3125 train_time:23.656s step_avg:171.42ms
step:139/3125 train_time:23.809s step_avg:171.29ms
