=== ep_50_22 : train_gpt_muonh_kmaxwell.py --warmup_end 100 --plateau_end 200 --fast_decay_end 1750 --peak_lr 0.030 --floor_lr 0.006 --fast_decay_exponent 0.6 --slow_decay_schedule linear --min_lr 0.0 --train_steps 3125 --seed 0 --k 8 --tau-min 3 --tau-max 64 --km-start 1000 --mu 0.95 --anneal-frac 1.0 --age 50 --age-end 22 ===
W0827 06:19:17.914000 8610 torch/distributed/run.py:852] 
W0827 06:19:17.914000 8610 torch/distributed/run.py:852] *****************************************
W0827 06:19:17.914000 8610 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0827 06:19:17.914000 8610 torch/distributed/run.py:852] *****************************************
logs/muonh_fast_slow_decay_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_kmaxwell_k8_kmstart1000_steps3125_seed0.txt
step:0/3125 val_loss:10.98535 train_time:0.000s step_avg:nanms
step:1/3125 train_time:2.609s step_avg:2608.82ms
step:2/3125 train_time:2.757s step_avg:1378.62ms
step:3/3125 train_time:2.911s step_avg:970.39ms
step:4/3125 train_time:3.065s step_avg:766.30ms
step:5/3125 train_time:3.220s step_avg:644.05ms
step:6/3125 train_time:3.374s step_avg:562.33ms
step:7/3125 train_time:3.530s step_avg:504.26ms
step:8/3125 train_time:3.685s step_avg:460.68ms
step:9/3125 train_time:3.843s step_avg:426.96ms
step:10/3125 train_time:3.997s step_avg:399.74ms
step:11/3125 train_time:4.152s step_avg:377.48ms
step:12/3125 train_time:4.307s step_avg:358.90ms
step:13/3125 train_time:4.463s step_avg:343.28ms
step:14/3125 train_time:4.620s step_avg:330.01ms
step:15/3125 train_time:4.774s step_avg:318.25ms
step:16/3125 train_time:4.930s step_avg:308.11ms
step:17/3125 train_time:5.086s step_avg:299.20ms
step:18/3125 train_time:5.244s step_avg:291.33ms
step:19/3125 train_time:5.400s step_avg:284.22ms
step:20/3125 train_time:5.554s step_avg:277.69ms
step:21/3125 train_time:5.710s step_avg:271.91ms
step:22/3125 train_time:5.866s step_avg:266.62ms
step:23/3125 train_time:6.024s step_avg:261.90ms
step:24/3125 train_time:6.180s step_avg:257.48ms
step:25/3125 train_time:6.335s step_avg:253.38ms
step:26/3125 train_time:6.489s step_avg:249.59ms
step:27/3125 train_time:6.646s step_avg:246.14ms
step:28/3125 train_time:6.803s step_avg:242.95ms
step:29/3125 train_time:6.959s step_avg:239.95ms
step:30/3125 train_time:7.114s step_avg:237.13ms
step:31/3125 train_time:7.269s step_avg:234.49ms
step:32/3125 train_time:7.426s step_avg:232.06ms
step:33/3125 train_time:7.583s step_avg:229.79ms
step:34/3125 train_time:7.739s step_avg:227.63ms
step:35/3125 train_time:7.894s step_avg:225.54ms
step:36/3125 train_time:8.050s step_avg:223.62ms
step:37/3125 train_time:8.207s step_avg:221.80ms
step:38/3125 train_time:8.363s step_avg:220.07ms
step:39/3125 train_time:8.519s step_avg:218.45ms
step:40/3125 train_time:8.674s step_avg:216.85ms
step:41/3125 train_time:8.830s step_avg:215.36ms
step:42/3125 train_time:8.985s step_avg:213.92ms
step:43/3125 train_time:9.139s step_avg:212.54ms
step:44/3125 train_time:9.295s step_avg:211.24ms
step:45/3125 train_time:9.452s step_avg:210.03ms
step:46/3125 train_time:9.608s step_avg:208.86ms
step:47/3125 train_time:9.766s step_avg:207.78ms
step:48/3125 train_time:9.924s step_avg:206.76ms
step:49/3125 train_time:10.081s step_avg:205.73ms
step:50/3125 train_time:10.237s step_avg:204.74ms
step:51/3125 train_time:10.393s step_avg:203.79ms
step:52/3125 train_time:10.551s step_avg:202.90ms
step:53/3125 train_time:10.706s step_avg:202.01ms
step:54/3125 train_time:10.862s step_avg:201.14ms
step:55/3125 train_time:11.019s step_avg:200.34ms
step:56/3125 train_time:11.172s step_avg:199.50ms
step:57/3125 train_time:11.329s step_avg:198.75ms
step:58/3125 train_time:11.487s step_avg:198.05ms
step:59/3125 train_time:11.644s step_avg:197.36ms
step:60/3125 train_time:11.801s step_avg:196.68ms
step:61/3125 train_time:11.955s step_avg:195.99ms
step:62/3125 train_time:12.111s step_avg:195.34ms
step:63/3125 train_time:12.267s step_avg:194.71ms
step:64/3125 train_time:12.423s step_avg:194.11ms
step:65/3125 train_time:12.581s step_avg:193.56ms
step:66/3125 train_time:12.738s step_avg:192.99ms
step:67/3125 train_time:12.893s step_avg:192.43ms
step:68/3125 train_time:13.049s step_avg:191.90ms
step:69/3125 train_time:13.205s step_avg:191.37ms
step:70/3125 train_time:13.360s step_avg:190.85ms
step:71/3125 train_time:13.514s step_avg:190.34ms
step:72/3125 train_time:13.670s step_avg:189.86ms
step:73/3125 train_time:13.827s step_avg:189.41ms
step:74/3125 train_time:13.987s step_avg:189.01ms
step:75/3125 train_time:14.146s step_avg:188.62ms
step:76/3125 train_time:14.303s step_avg:188.19ms
step:77/3125 train_time:14.457s step_avg:187.76ms
step:78/3125 train_time:14.613s step_avg:187.35ms
step:79/3125 train_time:14.768s step_avg:186.94ms
step:80/3125 train_time:14.926s step_avg:186.57ms
step:81/3125 train_time:15.083s step_avg:186.21ms
step:82/3125 train_time:15.241s step_avg:185.86ms
step:83/3125 train_time:15.396s step_avg:185.50ms
step:84/3125 train_time:15.552s step_avg:185.14ms
step:85/3125 train_time:15.707s step_avg:184.78ms
step:86/3125 train_time:15.863s step_avg:184.45ms
step:87/3125 train_time:16.021s step_avg:184.15ms
step:88/3125 train_time:16.178s step_avg:183.84ms
step:89/3125 train_time:16.333s step_avg:183.51ms
step:90/3125 train_time:16.488s step_avg:183.20ms
step:91/3125 train_time:16.644s step_avg:182.90ms
step:92/3125 train_time:16.800s step_avg:182.61ms
step:93/3125 train_time:16.954s step_avg:182.30ms
step:94/3125 train_time:17.112s step_avg:182.04ms
step:95/3125 train_time:17.267s step_avg:181.76ms
step:96/3125 train_time:17.425s step_avg:181.51ms
step:97/3125 train_time:17.581s step_avg:181.25ms
step:98/3125 train_time:17.738s step_avg:181.00ms
step:99/3125 train_time:17.892s step_avg:180.73ms
step:100/3125 train_time:18.049s step_avg:180.49ms
step:101/3125 train_time:18.207s step_avg:180.26ms
step:102/3125 train_time:18.364s step_avg:180.04ms
step:103/3125 train_time:18.520s step_avg:179.80ms
step:104/3125 train_time:18.674s step_avg:179.56ms
step:105/3125 train_time:18.830s step_avg:179.33ms
step:106/3125 train_time:18.985s step_avg:179.10ms
step:107/3125 train_time:19.142s step_avg:178.90ms
step:108/3125 train_time:19.299s step_avg:178.69ms
step:109/3125 train_time:19.453s step_avg:178.47ms
step:110/3125 train_time:19.610s step_avg:178.27ms
step:111/3125 train_time:19.765s step_avg:178.06ms
step:112/3125 train_time:19.922s step_avg:177.88ms
step:113/3125 train_time:20.077s step_avg:177.67ms
step:114/3125 train_time:20.233s step_avg:177.48ms
step:115/3125 train_time:20.388s step_avg:177.29ms
step:116/3125 train_time:20.546s step_avg:177.12ms
step:117/3125 train_time:20.703s step_avg:176.95ms
step:118/3125 train_time:20.858s step_avg:176.77ms
step:119/3125 train_time:21.015s step_avg:176.59ms
step:120/3125 train_time:21.170s step_avg:176.42ms
step:121/3125 train_time:21.326s step_avg:176.25ms
step:122/3125 train_time:21.482s step_avg:176.08ms
step:123/3125 train_time:21.639s step_avg:175.93ms
step:124/3125 train_time:21.793s step_avg:175.75ms
step:125/3125 train_time:21.950s step_avg:175.60ms
step:125/3125 val_loss:4.90367 train_time:21.958s step_avg:175.66ms
step:126/3125 train_time:22.109s step_avg:175.47ms
step:127/3125 train_time:22.266s step_avg:175.33ms
step:128/3125 train_time:22.423s step_avg:175.18ms
step:129/3125 train_time:22.578s step_avg:175.02ms
step:130/3125 train_time:22.733s step_avg:174.87ms
step:131/3125 train_time:22.890s step_avg:174.73ms
step:132/3125 train_time:23.049s step_avg:174.61ms
step:133/3125 train_time:23.206s step_avg:174.48ms
step:134/3125 train_time:23.364s step_avg:174.36ms
step:135/3125 train_time:23.520s step_avg:174.22ms
step:136/3125 train_time:23.675s step_avg:174.08ms
step:137/3125 train_time:23.831s step_avg:173.95ms
step:138/3125 train_time:23.987s step_avg:173.82ms
step:139/3125 train_time:24.144s step_avg:173.70ms
step:140/3125 train_time:24.300s step_avg:173.57ms
step:141/3125 train_time:24.455s step_avg:173.44ms
step:142/3125 train_time:24.610s step_avg:173.31ms
step:143/3125 train_time:24.768s step_avg:173.20ms
step:144/3125 train_time:24.924s step_avg:173.08ms
step:145/3125 train_time:25.079s step_avg:172.96ms
step:146/3125 train_time:25.235s step_avg:172.84ms
step:147/3125 train_time:25.390s step_avg:172.72ms
step:148/3125 train_time:25.548s step_avg:172.62ms
step:149/3125 train_time:25.704s step_avg:172.51ms
step:150/3125 train_time:25.861s step_avg:172.41ms
step:151/3125 train_time:26.015s step_avg:172.28ms
step:152/3125 train_time:26.171s step_avg:172.18ms
step:153/3125 train_time:26.328s step_avg:172.08ms
step:154/3125 train_time:26.485s step_avg:171.98ms
step:155/3125 train_time:26.642s step_avg:171.88ms
step:156/3125 train_time:26.797s step_avg:171.78ms
step:157/3125 train_time:26.952s step_avg:171.67ms
step:158/3125 train_time:27.108s step_avg:171.57ms
step:159/3125 train_time:27.266s step_avg:171.49ms
step:160/3125 train_time:27.423s step_avg:171.39ms
step:161/3125 train_time:27.577s step_avg:171.29ms
step:162/3125 train_time:27.733s step_avg:171.19ms
step:163/3125 train_time:27.888s step_avg:171.09ms
step:164/3125 train_time:28.045s step_avg:171.00ms
step:165/3125 train_time:28.200s step_avg:170.91ms
step:166/3125 train_time:28.354s step_avg:170.81ms
step:167/3125 train_time:28.510s step_avg:170.72ms
step:168/3125 train_time:28.668s step_avg:170.64ms
step:169/3125 train_time:28.825s step_avg:170.56ms
step:170/3125 train_time:28.980s step_avg:170.47ms
step:171/3125 train_time:29.136s step_avg:170.39ms
step:172/3125 train_time:29.291s step_avg:170.30ms
step:173/3125 train_time:29.448s step_avg:170.22ms
step:174/3125 train_time:29.606s step_avg:170.15ms
step:175/3125 train_time:29.763s step_avg:170.07ms
step:176/3125 train_time:29.919s step_avg:169.99ms
step:177/3125 train_time:30.073s step_avg:169.91ms
step:178/3125 train_time:30.230s step_avg:169.83ms
step:179/3125 train_time:30.387s step_avg:169.76ms
step:180/3125 train_time:30.545s step_avg:169.69ms
step:181/3125 train_time:30.701s step_avg:169.62ms
step:182/3125 train_time:30.856s step_avg:169.54ms
step:183/3125 train_time:31.011s step_avg:169.46ms
step:184/3125 train_time:31.168s step_avg:169.39ms
step:185/3125 train_time:31.323s step_avg:169.32ms
step:186/3125 train_time:31.478s step_avg:169.24ms
step:187/3125 train_time:31.633s step_avg:169.16ms
step:188/3125 train_time:31.789s step_avg:169.09ms
step:189/3125 train_time:31.946s step_avg:169.03ms
step:190/3125 train_time:32.103s step_avg:168.96ms
step:191/3125 train_time:32.399s step_avg:169.63ms
step:192/3125 train_time:32.555s step_avg:169.56ms
step:193/3125 train_time:32.710s step_avg:169.48ms
step:194/3125 train_time:32.866s step_avg:169.41ms
step:195/3125 train_time:33.020s step_avg:169.33ms
step:196/3125 train_time:33.176s step_avg:169.26ms
step:197/3125 train_time:33.333s step_avg:169.20ms
step:198/3125 train_time:33.488s step_avg:169.13ms
step:199/3125 train_time:33.644s step_avg:169.07ms
step:200/3125 train_time:33.799s step_avg:168.99ms
step:201/3125 train_time:33.953s step_avg:168.92ms
step:202/3125 train_time:34.109s step_avg:168.86ms
step:203/3125 train_time:34.268s step_avg:168.81ms
step:204/3125 train_time:34.425s step_avg:168.75ms
step:205/3125 train_time:34.579s step_avg:168.68ms
step:206/3125 train_time:34.735s step_avg:168.62ms
step:207/3125 train_time:34.889s step_avg:168.55ms
step:208/3125 train_time:35.045s step_avg:168.49ms
step:209/3125 train_time:35.200s step_avg:168.42ms
step:210/3125 train_time:35.355s step_avg:168.36ms
step:211/3125 train_time:35.511s step_avg:168.30ms
step:212/3125 train_time:35.668s step_avg:168.24ms
step:213/3125 train_time:35.824s step_avg:168.19ms
step:214/3125 train_time:35.979s step_avg:168.12ms
step:215/3125 train_time:36.134s step_avg:168.06ms
step:216/3125 train_time:36.289s step_avg:168.00ms
step:217/3125 train_time:36.447s step_avg:167.96ms
step:218/3125 train_time:36.603s step_avg:167.90ms
step:219/3125 train_time:36.760s step_avg:167.85ms
step:220/3125 train_time:36.915s step_avg:167.79ms
step:221/3125 train_time:37.070s step_avg:167.74ms
