=== k_4 : train_gpt_muonh_kmaxwell.py --warmup_end 100 --plateau_end 200 --fast_decay_end 1750 --peak_lr 0.030 --floor_lr 0.006 --fast_decay_exponent 0.6 --slow_decay_schedule linear --min_lr 0.0 --train_steps 3125 --seed 0 --k 4 --tau-min 3 --tau-max 64 --km-start 750 --mu 0.95 --anneal-frac 1.0 --age 50 --age-end 22 ===
W0827 07:20:53.683000 17193 torch/distributed/run.py:852] 
W0827 07:20:53.683000 17193 torch/distributed/run.py:852] *****************************************
W0827 07:20:53.683000 17193 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0827 07:20:53.683000 17193 torch/distributed/run.py:852] *****************************************
logs/muonh_fast_slow_decay_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_kmaxwell_k4_kmstart750_steps3125_seed0.txt
step:0/3125 val_loss:10.98535 train_time:0.001s step_avg:nanms
step:1/3125 train_time:2.857s step_avg:2857.24ms
step:2/3125 train_time:3.003s step_avg:1501.68ms
step:3/3125 train_time:3.158s step_avg:1052.74ms
step:4/3125 train_time:3.314s step_avg:828.41ms
step:5/3125 train_time:3.468s step_avg:693.58ms
step:6/3125 train_time:3.622s step_avg:603.61ms
step:7/3125 train_time:3.777s step_avg:539.50ms
step:8/3125 train_time:3.933s step_avg:491.66ms
step:9/3125 train_time:4.091s step_avg:454.57ms
step:10/3125 train_time:4.246s step_avg:424.55ms
step:11/3125 train_time:4.400s step_avg:399.97ms
step:12/3125 train_time:4.554s step_avg:379.50ms
step:13/3125 train_time:4.710s step_avg:362.29ms
step:14/3125 train_time:4.865s step_avg:347.48ms
step:15/3125 train_time:5.020s step_avg:334.67ms
step:16/3125 train_time:5.176s step_avg:323.48ms
step:17/3125 train_time:5.332s step_avg:313.65ms
step:18/3125 train_time:5.488s step_avg:304.89ms
step:19/3125 train_time:5.643s step_avg:297.00ms
step:20/3125 train_time:5.798s step_avg:289.89ms
step:21/3125 train_time:5.953s step_avg:283.46ms
step:22/3125 train_time:6.110s step_avg:277.72ms
step:23/3125 train_time:6.265s step_avg:272.40ms
step:24/3125 train_time:6.420s step_avg:267.50ms
step:25/3125 train_time:6.576s step_avg:263.05ms
step:26/3125 train_time:6.732s step_avg:258.92ms
step:27/3125 train_time:6.888s step_avg:255.10ms
step:28/3125 train_time:7.044s step_avg:251.56ms
step:29/3125 train_time:7.198s step_avg:248.22ms
step:30/3125 train_time:7.353s step_avg:245.11ms
step:31/3125 train_time:7.510s step_avg:242.27ms
step:32/3125 train_time:7.667s step_avg:239.59ms
step:33/3125 train_time:7.824s step_avg:237.10ms
step:34/3125 train_time:7.979s step_avg:234.68ms
step:35/3125 train_time:8.134s step_avg:232.41ms
step:36/3125 train_time:8.291s step_avg:230.32ms
step:37/3125 train_time:8.450s step_avg:228.37ms
step:38/3125 train_time:8.605s step_avg:226.45ms
step:39/3125 train_time:8.761s step_avg:224.63ms
step:40/3125 train_time:8.917s step_avg:222.93ms
step:41/3125 train_time:9.073s step_avg:221.29ms
step:42/3125 train_time:9.231s step_avg:219.79ms
step:43/3125 train_time:9.387s step_avg:218.30ms
step:44/3125 train_time:9.544s step_avg:216.91ms
step:45/3125 train_time:9.699s step_avg:215.53ms
step:46/3125 train_time:9.855s step_avg:214.24ms
step:47/3125 train_time:10.011s step_avg:213.00ms
step:48/3125 train_time:10.168s step_avg:211.83ms
step:49/3125 train_time:10.324s step_avg:210.70ms
step:50/3125 train_time:10.479s step_avg:209.57ms
step:51/3125 train_time:10.634s step_avg:208.51ms
step:52/3125 train_time:10.791s step_avg:207.52ms
step:53/3125 train_time:10.948s step_avg:206.56ms
step:54/3125 train_time:11.103s step_avg:205.61ms
step:55/3125 train_time:11.258s step_avg:204.69ms
step:56/3125 train_time:11.413s step_avg:203.81ms
step:57/3125 train_time:11.572s step_avg:203.02ms
step:58/3125 train_time:11.729s step_avg:202.22ms
step:59/3125 train_time:11.885s step_avg:201.45ms
step:60/3125 train_time:12.042s step_avg:200.70ms
step:61/3125 train_time:12.197s step_avg:199.95ms
step:62/3125 train_time:12.352s step_avg:199.23ms
step:63/3125 train_time:12.510s step_avg:198.57ms
step:64/3125 train_time:12.667s step_avg:197.92ms
step:65/3125 train_time:12.823s step_avg:197.27ms
step:66/3125 train_time:12.978s step_avg:196.63ms
step:67/3125 train_time:13.133s step_avg:196.01ms
step:68/3125 train_time:13.290s step_avg:195.44ms
step:69/3125 train_time:13.448s step_avg:194.89ms
step:70/3125 train_time:13.605s step_avg:194.35ms
step:71/3125 train_time:13.760s step_avg:193.80ms
step:72/3125 train_time:13.917s step_avg:193.29ms
step:73/3125 train_time:14.073s step_avg:192.77ms
step:74/3125 train_time:14.231s step_avg:192.30ms
step:75/3125 train_time:14.387s step_avg:191.83ms
step:76/3125 train_time:14.544s step_avg:191.37ms
step:77/3125 train_time:14.699s step_avg:190.90ms
step:78/3125 train_time:14.857s step_avg:190.47ms
step:79/3125 train_time:15.012s step_avg:190.03ms
step:80/3125 train_time:15.171s step_avg:189.64ms
step:81/3125 train_time:15.328s step_avg:189.24ms
step:82/3125 train_time:15.484s step_avg:188.83ms
step:83/3125 train_time:15.640s step_avg:188.43ms
step:84/3125 train_time:15.796s step_avg:188.05ms
step:85/3125 train_time:15.952s step_avg:187.68ms
step:86/3125 train_time:16.110s step_avg:187.32ms
step:87/3125 train_time:16.267s step_avg:186.98ms
step:88/3125 train_time:16.424s step_avg:186.63ms
step:89/3125 train_time:16.578s step_avg:186.27ms
step:90/3125 train_time:16.734s step_avg:185.94ms
step:91/3125 train_time:16.892s step_avg:185.62ms
step:92/3125 train_time:17.049s step_avg:185.32ms
step:93/3125 train_time:17.207s step_avg:185.02ms
step:94/3125 train_time:17.363s step_avg:184.72ms
step:95/3125 train_time:17.518s step_avg:184.40ms
step:96/3125 train_time:17.674s step_avg:184.10ms
step:97/3125 train_time:17.831s step_avg:183.82ms
step:98/3125 train_time:17.986s step_avg:183.53ms
step:99/3125 train_time:18.143s step_avg:183.26ms
step:100/3125 train_time:18.298s step_avg:182.98ms
step:101/3125 train_time:18.455s step_avg:182.72ms
step:102/3125 train_time:18.611s step_avg:182.46ms
step:103/3125 train_time:18.767s step_avg:182.21ms
step:104/3125 train_time:18.923s step_avg:181.96ms
step:105/3125 train_time:19.078s step_avg:181.70ms
step:106/3125 train_time:19.235s step_avg:181.46ms
step:107/3125 train_time:19.392s step_avg:181.23ms
step:108/3125 train_time:19.550s step_avg:181.02ms
step:109/3125 train_time:19.706s step_avg:180.79ms
step:110/3125 train_time:19.861s step_avg:180.56ms
step:111/3125 train_time:20.016s step_avg:180.32ms
step:112/3125 train_time:20.172s step_avg:180.11ms
step:113/3125 train_time:20.329s step_avg:179.91ms
step:114/3125 train_time:20.485s step_avg:179.70ms
step:115/3125 train_time:20.640s step_avg:179.48ms
step:116/3125 train_time:20.796s step_avg:179.27ms
step:117/3125 train_time:20.952s step_avg:179.08ms
step:118/3125 train_time:21.110s step_avg:178.90ms
step:119/3125 train_time:21.267s step_avg:178.71ms
step:120/3125 train_time:21.423s step_avg:178.53ms
step:121/3125 train_time:21.578s step_avg:178.33ms
step:122/3125 train_time:21.734s step_avg:178.15ms
step:123/3125 train_time:21.889s step_avg:177.96ms
step:124/3125 train_time:22.047s step_avg:177.80ms
step:125/3125 train_time:22.202s step_avg:177.62ms
step:125/3125 val_loss:4.89162 train_time:22.211s step_avg:177.68ms
step:126/3125 train_time:22.364s step_avg:177.49ms
step:127/3125 train_time:22.519s step_avg:177.31ms
step:128/3125 train_time:22.673s step_avg:177.14ms
step:129/3125 train_time:22.829s step_avg:176.97ms
step:130/3125 train_time:22.986s step_avg:176.81ms
step:131/3125 train_time:23.141s step_avg:176.65ms
step:132/3125 train_time:23.296s step_avg:176.49ms
step:133/3125 train_time:23.452s step_avg:176.33ms
step:134/3125 train_time:23.608s step_avg:176.18ms
step:135/3125 train_time:23.765s step_avg:176.04ms
step:136/3125 train_time:23.919s step_avg:175.87ms
step:137/3125 train_time:24.074s step_avg:175.72ms
step:138/3125 train_time:24.231s step_avg:175.59ms
