=== mu_096 : train_gpt_muonh_kmaxwell.py --warmup_end 100 --plateau_end 200 --fast_decay_end 1750 --peak_lr 0.030 --floor_lr 0.006 --fast_decay_exponent 0.6 --slow_decay_schedule linear --min_lr 0.0 --train_steps 3125 --seed 0 --k 8 --tau-min 3 --tau-max 64 --km-start 750 --anneal-frac 1.0 --age 50 --age-end 22 --mu 0.96 ===
W0827 07:06:48.722000 13710 torch/distributed/run.py:852] 
W0827 07:06:48.722000 13710 torch/distributed/run.py:852] *****************************************
W0827 07:06:48.722000 13710 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0827 07:06:48.722000 13710 torch/distributed/run.py:852] *****************************************
logs/muonh_fast_slow_decay_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_kmaxwell_k8_kmstart750_steps3125_seed0.txt
step:0/3125 val_loss:10.98535 train_time:0.000s step_avg:nanms
step:1/3125 train_time:8.644s step_avg:8643.60ms
step:2/3125 train_time:8.790s step_avg:4395.20ms
step:3/3125 train_time:8.945s step_avg:2981.56ms
step:4/3125 train_time:9.097s step_avg:2274.27ms
step:5/3125 train_time:9.250s step_avg:1850.09ms
step:6/3125 train_time:9.404s step_avg:1567.26ms
step:7/3125 train_time:9.557s step_avg:1365.26ms
step:8/3125 train_time:9.711s step_avg:1213.84ms
step:9/3125 train_time:9.864s step_avg:1096.00ms
step:10/3125 train_time:10.017s step_avg:1001.67ms
step:11/3125 train_time:10.171s step_avg:924.60ms
step:12/3125 train_time:10.324s step_avg:860.37ms
step:13/3125 train_time:10.478s step_avg:805.98ms
step:14/3125 train_time:10.631s step_avg:759.34ms
step:15/3125 train_time:10.785s step_avg:719.00ms
step:16/3125 train_time:10.938s step_avg:683.61ms
step:17/3125 train_time:11.091s step_avg:652.39ms
step:18/3125 train_time:11.246s step_avg:624.77ms
step:19/3125 train_time:11.399s step_avg:599.92ms
step:20/3125 train_time:11.551s step_avg:577.57ms
step:21/3125 train_time:11.706s step_avg:557.41ms
step:22/3125 train_time:11.859s step_avg:539.06ms
step:23/3125 train_time:12.012s step_avg:522.27ms
step:24/3125 train_time:12.166s step_avg:506.92ms
step:25/3125 train_time:12.319s step_avg:492.78ms
step:26/3125 train_time:12.473s step_avg:479.71ms
step:27/3125 train_time:12.626s step_avg:467.64ms
step:28/3125 train_time:12.779s step_avg:456.40ms
step:29/3125 train_time:12.933s step_avg:445.97ms
step:30/3125 train_time:13.087s step_avg:436.25ms
step:31/3125 train_time:13.240s step_avg:427.11ms
step:32/3125 train_time:13.394s step_avg:418.55ms
step:33/3125 train_time:13.548s step_avg:410.54ms
step:34/3125 train_time:13.702s step_avg:402.99ms
step:35/3125 train_time:13.855s step_avg:395.86ms
step:36/3125 train_time:14.009s step_avg:389.14ms
step:37/3125 train_time:14.163s step_avg:382.79ms
step:38/3125 train_time:14.316s step_avg:376.75ms
step:39/3125 train_time:14.472s step_avg:371.06ms
step:40/3125 train_time:14.626s step_avg:365.65ms
step:41/3125 train_time:14.780s step_avg:360.49ms
step:42/3125 train_time:14.934s step_avg:355.58ms
step:43/3125 train_time:15.088s step_avg:350.89ms
step:44/3125 train_time:15.243s step_avg:346.44ms
