=== on_1250 : train_gpt_muonh_kmaxwell.py --warmup_end 100 --plateau_end 200 --fast_decay_end 1750 --peak_lr 0.030 --floor_lr 0.006 --fast_decay_exponent 0.6 --slow_decay_schedule linear --min_lr 0.0 --train_steps 3125 --seed 0 --k 8 --tau-min 3 --tau-max 64 --mu 0.95 --anneal-frac 1.0 --age 50 --age-end 22 --km-start 1250 ===
W0827 06:53:25.950000 13123 torch/distributed/run.py:852] 
W0827 06:53:25.950000 13123 torch/distributed/run.py:852] *****************************************
W0827 06:53:25.950000 13123 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0827 06:53:25.950000 13123 torch/distributed/run.py:852] *****************************************
logs/muonh_fast_slow_decay_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_kmaxwell_k8_kmstart1250_steps3125_seed0.txt
step:0/3125 val_loss:10.98535 train_time:0.000s step_avg:nanms
step:1/3125 train_time:2.793s step_avg:2792.78ms
step:2/3125 train_time:2.938s step_avg:1469.01ms
step:3/3125 train_time:3.092s step_avg:1030.72ms
step:4/3125 train_time:3.246s step_avg:811.56ms
step:5/3125 train_time:3.401s step_avg:680.27ms
step:6/3125 train_time:3.556s step_avg:592.63ms
step:7/3125 train_time:3.713s step_avg:530.48ms
step:8/3125 train_time:3.870s step_avg:483.72ms
step:9/3125 train_time:4.026s step_avg:447.33ms
step:10/3125 train_time:4.182s step_avg:418.17ms
step:11/3125 train_time:4.338s step_avg:394.36ms
step:12/3125 train_time:4.494s step_avg:374.46ms
step:13/3125 train_time:4.649s step_avg:357.63ms
step:14/3125 train_time:4.805s step_avg:343.23ms
step:15/3125 train_time:4.963s step_avg:330.87ms
step:16/3125 train_time:5.122s step_avg:320.14ms
step:17/3125 train_time:5.281s step_avg:310.63ms
step:18/3125 train_time:5.436s step_avg:302.02ms
step:19/3125 train_time:5.594s step_avg:294.42ms
step:20/3125 train_time:5.750s step_avg:287.49ms
step:21/3125 train_time:5.906s step_avg:281.24ms
step:22/3125 train_time:6.062s step_avg:275.56ms
step:23/3125 train_time:6.223s step_avg:270.55ms
step:24/3125 train_time:6.380s step_avg:265.84ms
step:25/3125 train_time:6.538s step_avg:261.53ms
step:26/3125 train_time:6.694s step_avg:257.47ms
step:27/3125 train_time:6.849s step_avg:253.67ms
step:28/3125 train_time:7.005s step_avg:250.18ms
step:29/3125 train_time:7.163s step_avg:247.01ms
step:30/3125 train_time:7.322s step_avg:244.07ms
step:31/3125 train_time:7.482s step_avg:241.35ms
step:32/3125 train_time:7.641s step_avg:238.79ms
step:33/3125 train_time:7.801s step_avg:236.40ms
step:34/3125 train_time:7.957s step_avg:234.04ms
step:35/3125 train_time:8.114s step_avg:231.84ms
step:36/3125 train_time:8.269s step_avg:229.70ms
step:37/3125 train_time:8.426s step_avg:227.73ms
step:38/3125 train_time:8.582s step_avg:225.85ms
step:39/3125 train_time:8.743s step_avg:224.18ms
step:40/3125 train_time:8.901s step_avg:222.53ms
step:41/3125 train_time:9.058s step_avg:220.93ms
step:42/3125 train_time:9.216s step_avg:219.43ms
step:43/3125 train_time:9.372s step_avg:217.95ms
step:44/3125 train_time:9.527s step_avg:216.52ms
step:45/3125 train_time:9.683s step_avg:215.17ms
step:46/3125 train_time:9.843s step_avg:213.97ms
step:47/3125 train_time:10.001s step_avg:212.80ms
step:48/3125 train_time:10.159s step_avg:211.65ms
step:49/3125 train_time:10.317s step_avg:210.56ms
step:50/3125 train_time:10.473s step_avg:209.46ms
step:51/3125 train_time:10.628s step_avg:208.39ms
step:52/3125 train_time:10.784s step_avg:207.38ms
step:53/3125 train_time:10.943s step_avg:206.47ms
step:54/3125 train_time:11.100s step_avg:205.55ms
step:55/3125 train_time:11.258s step_avg:204.69ms
step:56/3125 train_time:11.417s step_avg:203.88ms
step:57/3125 train_time:11.575s step_avg:203.08ms
step:58/3125 train_time:11.730s step_avg:202.24ms
step:59/3125 train_time:11.885s step_avg:201.44ms
step:60/3125 train_time:12.042s step_avg:200.70ms
step:61/3125 train_time:12.201s step_avg:200.02ms
step:62/3125 train_time:12.359s step_avg:199.33ms
step:63/3125 train_time:12.518s step_avg:198.70ms
step:64/3125 train_time:12.676s step_avg:198.07ms
step:65/3125 train_time:12.834s step_avg:197.45ms
step:66/3125 train_time:12.987s step_avg:196.77ms
step:67/3125 train_time:13.143s step_avg:196.16ms
step:68/3125 train_time:13.302s step_avg:195.61ms
step:69/3125 train_time:13.458s step_avg:195.05ms
step:70/3125 train_time:13.616s step_avg:194.52ms
step:71/3125 train_time:13.771s step_avg:193.96ms
step:72/3125 train_time:13.929s step_avg:193.45ms
step:73/3125 train_time:14.083s step_avg:192.92ms
step:74/3125 train_time:14.241s step_avg:192.45ms
step:75/3125 train_time:14.398s step_avg:191.98ms
step:76/3125 train_time:14.555s step_avg:191.51ms
step:77/3125 train_time:14.711s step_avg:191.05ms
step:78/3125 train_time:14.867s step_avg:190.60ms
step:79/3125 train_time:15.023s step_avg:190.16ms
step:80/3125 train_time:15.180s step_avg:189.75ms
step:81/3125 train_time:15.338s step_avg:189.36ms
step:82/3125 train_time:15.495s step_avg:188.97ms
step:83/3125 train_time:15.649s step_avg:188.55ms
step:84/3125 train_time:15.806s step_avg:188.16ms
step:85/3125 train_time:15.962s step_avg:187.79ms
step:86/3125 train_time:16.121s step_avg:187.45ms
step:87/3125 train_time:16.279s step_avg:187.11ms
step:88/3125 train_time:16.436s step_avg:186.78ms
step:89/3125 train_time:16.591s step_avg:186.42ms
step:90/3125 train_time:16.748s step_avg:186.09ms
step:91/3125 train_time:16.904s step_avg:185.76ms
step:92/3125 train_time:17.062s step_avg:185.46ms
step:93/3125 train_time:17.220s step_avg:185.16ms
step:94/3125 train_time:17.377s step_avg:184.86ms
