=== transfer_k8_5826 : train_gpt_muonh_kmaxwell.py --warmup_end 100 --plateau_end 200 --fast_decay_end 1750 --peak_lr 0.030 --floor_lr 0.006 --fast_decay_exponent 0.6 --slow_decay_schedule linear --min_lr 0.0 --train_steps 3125 --seed 0 --k 8 --tau-min 3 --tau-max 64 --km-start 1000 --mu 0.95 --anneal-frac 1.0 --weights 0.005094,0.010188,0.015282,0.020376,0.025470,0.030564,0.035658,0.857369 --weights-end 0.032262,0.064524,0.096786,0.129047,0.161309,0.193571,0.225833,0.096669 ===
W0827 06:05:27.145000 6214 torch/distributed/run.py:852] 
W0827 06:05:27.145000 6214 torch/distributed/run.py:852] *****************************************
W0827 06:05:27.145000 6214 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0827 06:05:27.145000 6214 torch/distributed/run.py:852] *****************************************
logs/muonh_fast_slow_decay_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_kmaxwell_k8_kmstart1000_steps3125_seed0.txt
step:0/3125 val_loss:10.98535 train_time:0.000s step_avg:nanms
step:1/3125 train_time:2.667s step_avg:2666.68ms
step:2/3125 train_time:2.809s step_avg:1404.32ms
step:3/3125 train_time:2.962s step_avg:987.32ms
step:4/3125 train_time:3.118s step_avg:779.42ms
step:5/3125 train_time:3.274s step_avg:654.74ms
step:6/3125 train_time:3.427s step_avg:571.22ms
step:7/3125 train_time:3.581s step_avg:511.64ms
step:8/3125 train_time:3.741s step_avg:467.62ms
step:9/3125 train_time:3.897s step_avg:433.03ms
step:10/3125 train_time:4.052s step_avg:405.15ms
step:11/3125 train_time:4.206s step_avg:382.33ms
step:12/3125 train_time:4.360s step_avg:363.33ms
step:13/3125 train_time:4.516s step_avg:347.41ms
step:14/3125 train_time:4.671s step_avg:333.66ms
step:15/3125 train_time:4.826s step_avg:321.74ms
step:16/3125 train_time:4.980s step_avg:311.27ms
step:17/3125 train_time:5.137s step_avg:302.20ms
step:18/3125 train_time:5.291s step_avg:293.96ms
step:19/3125 train_time:5.446s step_avg:286.66ms
step:20/3125 train_time:5.600s step_avg:279.99ms
step:21/3125 train_time:5.755s step_avg:274.06ms
step:22/3125 train_time:5.909s step_avg:268.59ms
step:23/3125 train_time:6.064s step_avg:263.65ms
step:24/3125 train_time:6.220s step_avg:259.15ms
