=== variant_k1 : train_gpt_muonh_kmaxwell.py --warmup_end 100 --plateau_end 200 --fast_decay_end 1750 --peak_lr 0.030 --floor_lr 0.006 --fast_decay_exponent 0.6 --slow_decay_schedule linear --min_lr 0.0 --train_steps 3125 --seed 0 --k 1 ===
W0827 05:40:43.282000 2844 torch/distributed/run.py:852] 
W0827 05:40:43.282000 2844 torch/distributed/run.py:852] *****************************************
W0827 05:40:43.282000 2844 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0827 05:40:43.282000 2844 torch/distributed/run.py:852] *****************************************
logs/muonh_fast_slow_decay_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_steps3125_seed0.txt
step:0/3125 val_loss:10.98535 train_time:0.000s step_avg:nanms
step:1/3125 train_time:40.178s step_avg:40177.82ms
step:2/3125 train_time:40.325s step_avg:20162.65ms
step:3/3125 train_time:40.478s step_avg:13492.50ms
step:4/3125 train_time:40.630s step_avg:10157.42ms
step:5/3125 train_time:40.783s step_avg:8156.64ms
step:6/3125 train_time:40.936s step_avg:6822.71ms
step:7/3125 train_time:41.090s step_avg:5869.96ms
step:8/3125 train_time:41.243s step_avg:5155.34ms
step:9/3125 train_time:41.396s step_avg:4599.58ms
step:10/3125 train_time:41.549s step_avg:4154.93ms
step:11/3125 train_time:41.703s step_avg:3791.16ms
step:12/3125 train_time:41.855s step_avg:3487.94ms
step:13/3125 train_time:42.009s step_avg:3231.43ms
step:14/3125 train_time:42.162s step_avg:3011.56ms
step:15/3125 train_time:42.315s step_avg:2821.01ms
step:16/3125 train_time:42.470s step_avg:2654.38ms
step:17/3125 train_time:42.623s step_avg:2507.25ms
step:18/3125 train_time:42.777s step_avg:2376.49ms
step:19/3125 train_time:42.930s step_avg:2259.47ms
step:20/3125 train_time:43.083s step_avg:2154.17ms
step:21/3125 train_time:43.236s step_avg:2058.87ms
step:22/3125 train_time:43.391s step_avg:1972.30ms
step:23/3125 train_time:43.545s step_avg:1893.27ms
step:24/3125 train_time:43.699s step_avg:1820.78ms
step:25/3125 train_time:43.853s step_avg:1754.10ms
step:26/3125 train_time:44.007s step_avg:1692.58ms
step:27/3125 train_time:44.160s step_avg:1635.57ms
step:28/3125 train_time:44.315s step_avg:1582.68ms
step:29/3125 train_time:44.470s step_avg:1533.45ms
step:30/3125 train_time:44.623s step_avg:1487.45ms
step:31/3125 train_time:44.776s step_avg:1444.39ms
step:32/3125 train_time:44.930s step_avg:1404.06ms
step:33/3125 train_time:45.084s step_avg:1366.19ms
step:34/3125 train_time:45.238s step_avg:1330.52ms
step:35/3125 train_time:45.392s step_avg:1296.92ms
step:36/3125 train_time:45.546s step_avg:1265.16ms
step:37/3125 train_time:45.699s step_avg:1235.10ms
step:38/3125 train_time:45.852s step_avg:1206.63ms
step:39/3125 train_time:46.005s step_avg:1179.61ms
step:40/3125 train_time:46.158s step_avg:1153.96ms
step:41/3125 train_time:46.314s step_avg:1129.62ms
step:42/3125 train_time:46.468s step_avg:1106.39ms
step:43/3125 train_time:46.622s step_avg:1084.23ms
step:44/3125 train_time:46.775s step_avg:1063.07ms
step:45/3125 train_time:46.928s step_avg:1042.84ms
step:46/3125 train_time:47.081s step_avg:1023.51ms
step:47/3125 train_time:47.235s step_avg:1005.01ms
step:48/3125 train_time:47.392s step_avg:987.33ms
step:49/3125 train_time:47.546s step_avg:970.32ms
step:50/3125 train_time:47.699s step_avg:953.98ms
step:51/3125 train_time:47.853s step_avg:938.29ms
step:52/3125 train_time:48.007s step_avg:923.21ms
step:53/3125 train_time:48.160s step_avg:908.68ms
step:54/3125 train_time:48.315s step_avg:894.73ms
step:55/3125 train_time:48.470s step_avg:881.27ms
step:56/3125 train_time:48.626s step_avg:868.31ms
step:57/3125 train_time:48.779s step_avg:855.77ms
step:58/3125 train_time:48.934s step_avg:843.69ms
step:59/3125 train_time:49.090s step_avg:832.03ms
step:60/3125 train_time:49.244s step_avg:820.73ms
