=== variant_k1c : train_gpt_muonh_kmaxwell.py --warmup_end 100 --plateau_end 200 --fast_decay_end 1750 --peak_lr 0.030 --floor_lr 0.006 --fast_decay_exponent 0.6 --slow_decay_schedule linear --min_lr 0.0 --train_steps 3125 --seed 0 --k 1 ===
W0827 06:06:42.447000 7258 torch/distributed/run.py:852] 
W0827 06:06:42.447000 7258 torch/distributed/run.py:852] *****************************************
W0827 06:06:42.447000 7258 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0827 06:06:42.447000 7258 torch/distributed/run.py:852] *****************************************
logs/muonh_fast_slow_decay_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_steps3125_seed0.txt
step:0/3125 val_loss:10.98535 train_time:0.000s step_avg:nanms
step:1/3125 train_time:2.686s step_avg:2685.60ms
step:2/3125 train_time:2.831s step_avg:1415.72ms
step:3/3125 train_time:2.984s step_avg:994.83ms
step:4/3125 train_time:3.138s step_avg:784.62ms
step:5/3125 train_time:3.291s step_avg:658.29ms
step:6/3125 train_time:3.444s step_avg:574.02ms
step:7/3125 train_time:3.597s step_avg:513.92ms
step:8/3125 train_time:3.751s step_avg:468.83ms
step:9/3125 train_time:3.904s step_avg:433.79ms
step:10/3125 train_time:4.058s step_avg:405.79ms
step:11/3125 train_time:4.212s step_avg:382.94ms
step:12/3125 train_time:4.365s step_avg:363.79ms
step:13/3125 train_time:4.519s step_avg:347.58ms
step:14/3125 train_time:4.671s step_avg:333.67ms
step:15/3125 train_time:4.826s step_avg:321.75ms
step:16/3125 train_time:4.979s step_avg:311.18ms
step:17/3125 train_time:5.134s step_avg:302.02ms
step:18/3125 train_time:5.287s step_avg:293.70ms
step:19/3125 train_time:5.439s step_avg:286.29ms
step:20/3125 train_time:5.593s step_avg:279.64ms
step:21/3125 train_time:5.745s step_avg:273.59ms
step:22/3125 train_time:5.900s step_avg:268.19ms
step:23/3125 train_time:6.055s step_avg:263.24ms
step:24/3125 train_time:6.208s step_avg:258.65ms
step:25/3125 train_time:6.360s step_avg:254.41ms
step:26/3125 train_time:6.517s step_avg:250.64ms
step:27/3125 train_time:6.670s step_avg:247.04ms
step:28/3125 train_time:6.823s step_avg:243.68ms
step:29/3125 train_time:6.976s step_avg:240.55ms
step:30/3125 train_time:7.129s step_avg:237.62ms
step:31/3125 train_time:7.281s step_avg:234.87ms
step:32/3125 train_time:7.435s step_avg:232.33ms
step:33/3125 train_time:7.588s step_avg:229.93ms
step:34/3125 train_time:7.741s step_avg:227.68ms
step:35/3125 train_time:7.895s step_avg:225.57ms
step:36/3125 train_time:8.047s step_avg:223.53ms
step:37/3125 train_time:8.201s step_avg:221.65ms
step:38/3125 train_time:8.355s step_avg:219.88ms
step:39/3125 train_time:8.509s step_avg:218.17ms
step:40/3125 train_time:8.663s step_avg:216.58ms
step:41/3125 train_time:8.817s step_avg:215.04ms
step:42/3125 train_time:8.970s step_avg:213.56ms
step:43/3125 train_time:9.123s step_avg:212.16ms
step:44/3125 train_time:9.277s step_avg:210.84ms
step:45/3125 train_time:9.431s step_avg:209.57ms
step:46/3125 train_time:9.585s step_avg:208.36ms
step:47/3125 train_time:9.737s step_avg:207.18ms
step:48/3125 train_time:9.891s step_avg:206.06ms
step:49/3125 train_time:10.044s step_avg:204.98ms
step:50/3125 train_time:10.198s step_avg:203.97ms
step:51/3125 train_time:10.353s step_avg:202.99ms
step:52/3125 train_time:10.506s step_avg:202.03ms
step:53/3125 train_time:10.660s step_avg:201.12ms
step:54/3125 train_time:10.813s step_avg:200.25ms
step:55/3125 train_time:10.966s step_avg:199.38ms
step:56/3125 train_time:11.119s step_avg:198.56ms
step:57/3125 train_time:11.271s step_avg:197.74ms
step:58/3125 train_time:11.425s step_avg:196.98ms
step:59/3125 train_time:11.578s step_avg:196.24ms
step:60/3125 train_time:11.733s step_avg:195.55ms
step:61/3125 train_time:11.886s step_avg:194.85ms
step:62/3125 train_time:12.039s step_avg:194.18ms
step:63/3125 train_time:12.192s step_avg:193.53ms
step:64/3125 train_time:12.345s step_avg:192.89ms
step:65/3125 train_time:12.499s step_avg:192.29ms
step:66/3125 train_time:12.653s step_avg:191.71ms
step:67/3125 train_time:12.807s step_avg:191.14ms
step:68/3125 train_time:12.961s step_avg:190.60ms
step:69/3125 train_time:13.114s step_avg:190.06ms
step:70/3125 train_time:13.267s step_avg:189.53ms
step:71/3125 train_time:13.420s step_avg:189.01ms
step:72/3125 train_time:13.573s step_avg:188.52ms
step:73/3125 train_time:13.726s step_avg:188.02ms
step:74/3125 train_time:13.880s step_avg:187.57ms
step:75/3125 train_time:14.034s step_avg:187.12ms
step:76/3125 train_time:14.188s step_avg:186.68ms
step:77/3125 train_time:14.341s step_avg:186.25ms
step:78/3125 train_time:14.497s step_avg:185.86ms
step:79/3125 train_time:14.650s step_avg:185.44ms
step:80/3125 train_time:14.805s step_avg:185.06ms
step:81/3125 train_time:14.958s step_avg:184.67ms
step:82/3125 train_time:15.112s step_avg:184.30ms
step:83/3125 train_time:15.265s step_avg:183.92ms
step:84/3125 train_time:15.418s step_avg:183.55ms
step:85/3125 train_time:15.572s step_avg:183.20ms
step:86/3125 train_time:15.725s step_avg:182.85ms
step:87/3125 train_time:15.880s step_avg:182.53ms
step:88/3125 train_time:16.033s step_avg:182.20ms
step:89/3125 train_time:16.187s step_avg:181.87ms
step:90/3125 train_time:16.341s step_avg:181.57ms
step:91/3125 train_time:16.494s step_avg:181.25ms
step:92/3125 train_time:16.646s step_avg:180.94ms
step:93/3125 train_time:16.800s step_avg:180.65ms
step:94/3125 train_time:16.954s step_avg:180.37ms
step:95/3125 train_time:17.108s step_avg:180.08ms
step:96/3125 train_time:17.262s step_avg:179.82ms
step:97/3125 train_time:17.416s step_avg:179.54ms
step:98/3125 train_time:17.569s step_avg:179.27ms
step:99/3125 train_time:17.722s step_avg:179.01ms
step:100/3125 train_time:17.876s step_avg:178.76ms
step:101/3125 train_time:18.028s step_avg:178.49ms
step:102/3125 train_time:18.183s step_avg:178.26ms
step:103/3125 train_time:18.336s step_avg:178.02ms
step:104/3125 train_time:18.490s step_avg:177.79ms
step:105/3125 train_time:18.643s step_avg:177.56ms
step:106/3125 train_time:18.798s step_avg:177.34ms
step:107/3125 train_time:18.953s step_avg:177.13ms
step:108/3125 train_time:19.107s step_avg:176.92ms
step:109/3125 train_time:19.260s step_avg:176.70ms
step:110/3125 train_time:19.414s step_avg:176.49ms
step:111/3125 train_time:19.566s step_avg:176.27ms
step:112/3125 train_time:19.719s step_avg:176.07ms
step:113/3125 train_time:19.872s step_avg:175.86ms
step:114/3125 train_time:20.025s step_avg:175.66ms
step:115/3125 train_time:20.179s step_avg:175.47ms
step:116/3125 train_time:20.334s step_avg:175.29ms
step:117/3125 train_time:20.487s step_avg:175.10ms
step:118/3125 train_time:20.641s step_avg:174.92ms
step:119/3125 train_time:20.794s step_avg:174.74ms
step:120/3125 train_time:20.947s step_avg:174.56ms
step:121/3125 train_time:21.101s step_avg:174.39ms
step:122/3125 train_time:21.255s step_avg:174.22ms
step:123/3125 train_time:21.408s step_avg:174.05ms
step:124/3125 train_time:21.563s step_avg:173.89ms
step:125/3125 train_time:21.715s step_avg:173.72ms
step:125/3125 val_loss:4.90267 train_time:21.723s step_avg:173.79ms
step:126/3125 train_time:21.872s step_avg:173.58ms
step:127/3125 train_time:22.025s step_avg:173.42ms
step:128/3125 train_time:22.177s step_avg:173.26ms
step:129/3125 train_time:22.331s step_avg:173.11ms
step:130/3125 train_time:22.485s step_avg:172.96ms
step:131/3125 train_time:22.639s step_avg:172.82ms
step:132/3125 train_time:22.793s step_avg:172.67ms
step:133/3125 train_time:22.947s step_avg:172.53ms
step:134/3125 train_time:23.100s step_avg:172.39ms
step:135/3125 train_time:23.253s step_avg:172.24ms
step:136/3125 train_time:23.408s step_avg:172.11ms
step:137/3125 train_time:23.560s step_avg:171.97ms
step:138/3125 train_time:23.714s step_avg:171.84ms
step:139/3125 train_time:23.868s step_avg:171.71ms
step:140/3125 train_time:24.020s step_avg:171.57ms
step:141/3125 train_time:24.174s step_avg:171.45ms
step:142/3125 train_time:24.329s step_avg:171.33ms
step:143/3125 train_time:24.484s step_avg:171.21ms
step:144/3125 train_time:24.637s step_avg:171.09ms
step:145/3125 train_time:24.791s step_avg:170.97ms
step:146/3125 train_time:24.943s step_avg:170.84ms
step:147/3125 train_time:25.096s step_avg:170.72ms
step:148/3125 train_time:25.249s step_avg:170.60ms
step:149/3125 train_time:25.401s step_avg:170.48ms
step:150/3125 train_time:25.554s step_avg:170.36ms
step:151/3125 train_time:25.708s step_avg:170.25ms
step:152/3125 train_time:25.862s step_avg:170.14ms
step:153/3125 train_time:26.015s step_avg:170.03ms
step:154/3125 train_time:26.168s step_avg:169.92ms
step:155/3125 train_time:26.321s step_avg:169.81ms
step:156/3125 train_time:26.474s step_avg:169.71ms
step:157/3125 train_time:26.628s step_avg:169.61ms
step:158/3125 train_time:26.783s step_avg:169.52ms
step:159/3125 train_time:26.937s step_avg:169.41ms
step:160/3125 train_time:27.090s step_avg:169.31ms
step:161/3125 train_time:27.243s step_avg:169.21ms
step:162/3125 train_time:27.396s step_avg:169.11ms
step:163/3125 train_time:27.549s step_avg:169.01ms
step:164/3125 train_time:27.702s step_avg:168.91ms
step:165/3125 train_time:27.855s step_avg:168.82ms
step:166/3125 train_time:28.009s step_avg:168.73ms
step:167/3125 train_time:28.163s step_avg:168.64ms
step:168/3125 train_time:28.317s step_avg:168.55ms
step:169/3125 train_time:28.471s step_avg:168.47ms
step:170/3125 train_time:28.624s step_avg:168.38ms
step:171/3125 train_time:28.777s step_avg:168.29ms
step:172/3125 train_time:28.929s step_avg:168.19ms
step:173/3125 train_time:29.084s step_avg:168.12ms
step:174/3125 train_time:29.238s step_avg:168.03ms
step:175/3125 train_time:29.392s step_avg:167.96ms
step:176/3125 train_time:29.546s step_avg:167.88ms
step:177/3125 train_time:29.699s step_avg:167.79ms
step:178/3125 train_time:29.853s step_avg:167.71ms
step:179/3125 train_time:30.007s step_avg:167.64ms
step:180/3125 train_time:30.160s step_avg:167.56ms
step:181/3125 train_time:30.314s step_avg:167.48ms
step:182/3125 train_time:30.467s step_avg:167.40ms
step:183/3125 train_time:30.621s step_avg:167.33ms
step:184/3125 train_time:30.775s step_avg:167.25ms
step:185/3125 train_time:30.928s step_avg:167.18ms
step:186/3125 train_time:31.082s step_avg:167.11ms
step:187/3125 train_time:31.235s step_avg:167.03ms
step:188/3125 train_time:31.388s step_avg:166.96ms
step:189/3125 train_time:31.542s step_avg:166.89ms
step:190/3125 train_time:31.694s step_avg:166.81ms
step:191/3125 train_time:31.988s step_avg:167.48ms
step:192/3125 train_time:32.140s step_avg:167.40ms
step:193/3125 train_time:32.294s step_avg:167.32ms
step:194/3125 train_time:32.447s step_avg:167.25ms
step:195/3125 train_time:32.599s step_avg:167.17ms
step:196/3125 train_time:32.753s step_avg:167.11ms
step:197/3125 train_time:32.907s step_avg:167.04ms
step:198/3125 train_time:33.060s step_avg:166.97ms
step:199/3125 train_time:33.214s step_avg:166.91ms
step:200/3125 train_time:33.368s step_avg:166.84ms
step:201/3125 train_time:33.520s step_avg:166.77ms
step:202/3125 train_time:33.673s step_avg:166.70ms
step:203/3125 train_time:33.827s step_avg:166.64ms
step:204/3125 train_time:33.980s step_avg:166.57ms
step:205/3125 train_time:34.134s step_avg:166.51ms
step:206/3125 train_time:34.288s step_avg:166.45ms
step:207/3125 train_time:34.442s step_avg:166.38ms
step:208/3125 train_time:34.594s step_avg:166.32ms
step:209/3125 train_time:34.747s step_avg:166.25ms
step:210/3125 train_time:34.900s step_avg:166.19ms
step:211/3125 train_time:35.053s step_avg:166.13ms
step:212/3125 train_time:35.207s step_avg:166.07ms
step:213/3125 train_time:35.359s step_avg:166.01ms
step:214/3125 train_time:35.514s step_avg:165.95ms
step:215/3125 train_time:35.667s step_avg:165.89ms
step:216/3125 train_time:35.820s step_avg:165.83ms
step:217/3125 train_time:35.974s step_avg:165.78ms
step:218/3125 train_time:36.127s step_avg:165.72ms
step:219/3125 train_time:36.279s step_avg:165.66ms
step:220/3125 train_time:36.434s step_avg:165.61ms
step:221/3125 train_time:36.587s step_avg:165.55ms
step:222/3125 train_time:36.742s step_avg:165.50ms
step:223/3125 train_time:36.895s step_avg:165.45ms
step:224/3125 train_time:37.048s step_avg:165.39ms
step:225/3125 train_time:37.201s step_avg:165.34ms
step:226/3125 train_time:37.354s step_avg:165.28ms
step:227/3125 train_time:37.508s step_avg:165.23ms
step:228/3125 train_time:37.662s step_avg:165.19ms
step:229/3125 train_time:37.815s step_avg:165.13ms
step:230/3125 train_time:37.968s step_avg:165.08ms
step:231/3125 train_time:38.122s step_avg:165.03ms
step:232/3125 train_time:38.275s step_avg:164.98ms
step:233/3125 train_time:38.429s step_avg:164.93ms
step:234/3125 train_time:38.583s step_avg:164.89ms
step:235/3125 train_time:38.737s step_avg:164.84ms
step:236/3125 train_time:38.891s step_avg:164.79ms
step:237/3125 train_time:39.045s step_avg:164.75ms
step:238/3125 train_time:39.198s step_avg:164.70ms
step:239/3125 train_time:39.351s step_avg:164.65ms
step:240/3125 train_time:39.503s step_avg:164.60ms
step:241/3125 train_time:39.656s step_avg:164.55ms
step:242/3125 train_time:39.809s step_avg:164.50ms
step:243/3125 train_time:39.963s step_avg:164.46ms
step:244/3125 train_time:40.117s step_avg:164.41ms
step:245/3125 train_time:40.270s step_avg:164.37ms
step:246/3125 train_time:40.423s step_avg:164.32ms
step:247/3125 train_time:40.575s step_avg:164.27ms
step:248/3125 train_time:40.731s step_avg:164.24ms
step:249/3125 train_time:40.884s step_avg:164.19ms
step:250/3125 train_time:41.038s step_avg:164.15ms
step:250/3125 val_loss:4.23496 train_time:41.046s step_avg:154.58ms
step:251/3125 train_time:41.196s step_avg:164.13ms
step:252/3125 train_time:41.349s step_avg:164.08ms
step:253/3125 train_time:41.502s step_avg:164.04ms
step:254/3125 train_time:41.655s step_avg:164.00ms
step:255/3125 train_time:41.808s step_avg:163.95ms
step:256/3125 train_time:41.961s step_avg:163.91ms
step:257/3125 train_time:42.116s step_avg:163.87ms
step:258/3125 train_time:42.269s step_avg:163.83ms
step:259/3125 train_time:42.422s step_avg:163.79ms
step:260/3125 train_time:42.577s step_avg:163.76ms
step:261/3125 train_time:42.729s step_avg:163.71ms
step:262/3125 train_time:42.882s step_avg:163.67ms
step:263/3125 train_time:43.035s step_avg:163.63ms
step:264/3125 train_time:43.188s step_avg:163.59ms
step:265/3125 train_time:43.343s step_avg:163.56ms
step:266/3125 train_time:43.495s step_avg:163.52ms
step:267/3125 train_time:43.649s step_avg:163.48ms
step:268/3125 train_time:43.802s step_avg:163.44ms
step:269/3125 train_time:43.955s step_avg:163.40ms
step:270/3125 train_time:44.109s step_avg:163.37ms
step:271/3125 train_time:44.261s step_avg:163.33ms
step:272/3125 train_time:44.415s step_avg:163.29ms
step:273/3125 train_time:44.568s step_avg:163.25ms
step:274/3125 train_time:44.723s step_avg:163.22ms
step:275/3125 train_time:44.876s step_avg:163.19ms
step:276/3125 train_time:45.030s step_avg:163.15ms
step:277/3125 train_time:45.183s step_avg:163.12ms
step:278/3125 train_time:45.336s step_avg:163.08ms
step:279/3125 train_time:45.488s step_avg:163.04ms
step:280/3125 train_time:45.641s step_avg:163.00ms
step:281/3125 train_time:45.795s step_avg:162.97ms
step:282/3125 train_time:45.948s step_avg:162.94ms
step:283/3125 train_time:46.101s step_avg:162.90ms
step:284/3125 train_time:46.255s step_avg:162.87ms
step:285/3125 train_time:46.408s step_avg:162.83ms
step:286/3125 train_time:46.563s step_avg:162.81ms
step:287/3125 train_time:46.717s step_avg:162.78ms
step:288/3125 train_time:46.870s step_avg:162.74ms
step:289/3125 train_time:47.024s step_avg:162.71ms
step:290/3125 train_time:47.178s step_avg:162.68ms
step:291/3125 train_time:47.331s step_avg:162.65ms
step:292/3125 train_time:47.484s step_avg:162.62ms
step:293/3125 train_time:47.637s step_avg:162.58ms
step:294/3125 train_time:47.789s step_avg:162.55ms
step:295/3125 train_time:47.944s step_avg:162.52ms
step:296/3125 train_time:48.097s step_avg:162.49ms
step:297/3125 train_time:48.251s step_avg:162.46ms
step:298/3125 train_time:48.405s step_avg:162.43ms
step:299/3125 train_time:48.559s step_avg:162.40ms
step:300/3125 train_time:48.712s step_avg:162.37ms
step:301/3125 train_time:48.866s step_avg:162.34ms
step:302/3125 train_time:49.019s step_avg:162.31ms
step:303/3125 train_time:49.172s step_avg:162.28ms
step:304/3125 train_time:49.326s step_avg:162.26ms
step:305/3125 train_time:49.479s step_avg:162.23ms
step:306/3125 train_time:49.632s step_avg:162.20ms
step:307/3125 train_time:49.785s step_avg:162.17ms
step:308/3125 train_time:49.939s step_avg:162.14ms
step:309/3125 train_time:50.092s step_avg:162.11ms
step:310/3125 train_time:50.247s step_avg:162.09ms
step:311/3125 train_time:50.400s step_avg:162.06ms
step:312/3125 train_time:50.553s step_avg:162.03ms
step:313/3125 train_time:50.705s step_avg:162.00ms
step:314/3125 train_time:50.861s step_avg:161.98ms
step:315/3125 train_time:51.016s step_avg:161.96ms
step:316/3125 train_time:51.169s step_avg:161.93ms
step:317/3125 train_time:51.325s step_avg:161.91ms
step:318/3125 train_time:51.479s step_avg:161.88ms
step:319/3125 train_time:51.631s step_avg:161.85ms
