step	seed0	seed1	seed2	seed3	seed4	seed5	seed6	seed7	mean	margin	pass
2580	3.282730	3.284060	3.283420	3.281080	3.285430	3.281600	3.282960	3.283520	3.283100	-0.00877	fail
2585	3.282330	3.283640	3.283020	3.280660	3.285010	3.281190	3.282540	3.283130	3.282690	-0.00761	fail
2590	3.281960	3.283230	3.282620	3.280260	3.284620	3.280790	3.282140	3.282720	3.282293	-0.00648	fail
2595	3.281580	3.282850	3.282250	3.279870	3.284210	3.280450	3.281750	3.282300	3.281907	-0.00540	fail
2600	3.281210	3.282460	3.281850	3.279470	3.283850	3.280070	3.281370	3.281930	3.281526	-0.00432	fail
2605	3.280850	3.282080	3.281510	3.279120	3.283520	3.279710	3.281030	3.281590	3.281176	-0.00333	fail
2610	3.280490	3.281720	3.281150	3.278740	3.283140	3.279310	3.280700	3.281190	3.280805	-0.00228	fail
2615	3.280080	3.281320	3.280760	3.278340	3.282750	3.278900	3.280280	3.280770	3.280400	-0.00113	fail
2620	3.279690	3.280980	3.280380	3.277990	3.282390	3.278550	3.279940	3.280430	3.280044	-0.00012	fail
2625	3.279320	3.280620	3.280020	3.277600	3.281990	3.278200	3.279530	3.280040	3.279665	0.00095	fail
2630	3.278990	3.280250	3.279660	3.277270	3.281660	3.277860	3.279190	3.279730	3.279326	0.00191	fail
2635	3.278590	3.279870	3.279310	3.276910	3.281270	3.277480	3.278800	3.279330	3.278945	0.00298	fail
2640	3.278230	3.279480	3.278960	3.276530	3.280920	3.277130	3.278450	3.278960	3.278583	0.00401	PASS
2645	3.277890	3.279160	3.278600	3.276220	3.280590	3.276780	3.278110	3.278630	3.278247	0.00496	PASS
2650	3.277610	3.278860	3.278310	3.275900	3.280280	3.276490	3.277820	3.278310	3.277948	0.00581	PASS
2655	3.277240	3.278490	3.277940	3.275550	3.279940	3.276120	3.277430	3.277980	3.277586	0.00683	PASS
2660	3.276960	3.278160	3.277630	3.275240	3.279620	3.275840	3.277120	3.277670	3.277280	0.00769	PASS
2665	3.276620	3.277830	3.277290	3.274920	3.279300	3.275500	3.276770	3.277370	3.276950	0.00863	PASS
2670	3.276300	3.277520	3.276990	3.274600	3.278980	3.275180	3.276460	3.277050	3.276635	0.00952	PASS
2675	3.275970	3.277240	3.276670	3.274300	3.278680	3.274850	3.276140	3.276740	3.276324	0.01040	PASS
2680	3.275690	3.276940	3.276400	3.274020	3.278400	3.274580	3.275870	3.276480	3.276048	0.01118	PASS
2685	3.275400	3.276640	3.276100	3.273730	3.278120	3.274300	3.275580	3.276180	3.275756	0.01200	PASS
2690	3.275130	3.276370	3.275820	3.273460	3.277840	3.274040	3.275300	3.275910	3.275484	0.01277	PASS
2695	3.274860	3.276110	3.275570	3.273190	3.277560	3.273780	3.275040	3.275660	3.275221	0.01352	PASS
2700	3.274630	3.275860	3.275300	3.272930	3.277320	3.273520	3.274780	3.275380	3.274965	0.01424	PASS
2705	3.274350	3.275560	3.275020	3.272640	3.277040	3.273230	3.274510	3.275110	3.274683	0.01504	PASS
2710	3.274070	3.275300	3.274750	3.272410	3.276790	3.272980	3.274240	3.274850	3.274424	0.01577	PASS
2715	3.273830	3.275070	3.274500	3.272150	3.276540	3.272730	3.274000	3.274610	3.274179	0.01646	PASS
2720	3.273570	3.274810	3.274240	3.271890	3.276290	3.272480	3.273740	3.274340	3.273920	0.01720	PASS
