step	seed0	seed1	seed2	seed3	seed4	seed5	seed6	seed7	mean	margin	pass
2580	3.286180	3.286560	3.286350	3.286430	3.287430	3.285420	3.287330	3.285870	3.286446	-0.01823	fail
2585	3.285700	3.286070	3.285890	3.285940	3.286940	3.284970	3.286850	3.285380	3.285968	-0.01688	fail
2590	3.285260	3.285620	3.285410	3.285490	3.286490	3.284510	3.286420	3.284900	3.285513	-0.01559	fail
2595	3.284800	3.285170	3.284970	3.285030	3.286050	3.284090	3.285980	3.284460	3.285069	-0.01434	fail
2600	3.284380	3.284750	3.284530	3.284610	3.285640	3.283620	3.285560	3.284020	3.284639	-0.01312	fail
2605	3.283980	3.284350	3.284140	3.284180	3.285220	3.283220	3.285150	3.283630	3.284234	-0.01197	fail
2610	3.283550	3.283920	3.283730	3.283750	3.284830	3.282820	3.284770	3.283180	3.283819	-0.01080	fail
2615	3.283110	3.283480	3.283290	3.283290	3.284400	3.282400	3.284310	3.282770	3.283381	-0.00956	fail
2620	3.282700	3.283080	3.282890	3.282890	3.283990	3.282000	3.283890	3.282370	3.282976	-0.00842	fail
2625	3.282260	3.282680	3.282480	3.282470	3.283580	3.281610	3.283470	3.281950	3.282563	-0.00725	fail
2630	3.281870	3.282270	3.282090	3.282070	3.283190	3.281210	3.283110	3.281560	3.282171	-0.00614	fail
2635	3.281450	3.281870	3.281650	3.281640	3.282760	3.280780	3.282680	3.281130	3.281745	-0.00494	fail
2640	3.281040	3.281480	3.281270	3.281220	3.282370	3.280380	3.282280	3.280730	3.281346	-0.00381	fail
2645	3.280660	3.281090	3.280860	3.280830	3.281970	3.279980	3.281900	3.280350	3.280955	-0.00270	fail
2650	3.280320	3.280770	3.280520	3.280490	3.281630	3.279640	3.281570	3.280010	3.280619	-0.00175	fail
2655	3.279910	3.280360	3.280120	3.280080	3.281220	3.279240	3.281160	3.279600	3.280211	-0.00060	fail
2660	3.279580	3.279990	3.279780	3.279740	3.280860	3.278880	3.280800	3.279240	3.279859	0.00040	fail
2665	3.279220	3.279630	3.279420	3.279360	3.280490	3.278510	3.280470	3.278890	3.279499	0.00142	fail
2670	3.278870	3.279290	3.279040	3.279020	3.280160	3.278140	3.280090	3.278540	3.279144	0.00242	fail
2675	3.278500	3.278920	3.278680	3.278660	3.279810	3.277800	3.279740	3.278190	3.278787	0.00343	fail
2680	3.278180	3.278650	3.278370	3.278320	3.279480	3.277490	3.279410	3.277880	3.278472	0.00432	PASS
2685	3.277860	3.278280	3.278040	3.277980	3.279150	3.277150	3.279060	3.277550	3.278134	0.00528	PASS
2690	3.277530	3.277960	3.277710	3.277680	3.278840	3.276840	3.278770	3.277210	3.277818	0.00617	PASS
2695	3.277250	3.277690	3.277440	3.277380	3.278550	3.276560	3.278470	3.276920	3.277532	0.00698	PASS
2700	3.276970	3.277400	3.277160	3.277090	3.278270	3.276260	3.278200	3.276650	3.277250	0.00778	PASS
2705	3.276650	3.277090	3.276840	3.276770	3.277950	3.275960	3.277880	3.276340	3.276935	0.00867	PASS
2710	3.276350	3.276790	3.276530	3.276480	3.277660	3.275660	3.277580	3.276030	3.276635	0.00952	PASS
2715	3.276070	3.276510	3.276260	3.276180	3.277380	3.275390	3.277300	3.275770	3.276358	0.01030	PASS
2720	3.275790	3.276220	3.275970	3.275890	3.277090	3.275100	3.277000	3.275480	3.276068	0.01112	PASS
